"X","twitter_handle","example","user_id","party","label"
51,"KatjaKeul","Grüne Bundestagsabgeordnete aus Niedersachsen – Anwältin für Frieden, Recht und Freiheit – Staatsministerin im Auswärtigen Amt | twittert hier ganz privat",959105206216162944,"Bündnis 90/Die Grünen","1 ökonomisch neutral + libertär"
52,"KirstenKappert","Bundestagsabgeordnete für Bremen von @die_gruenen, amtierende Vorsitzende des Gesundheitsausschuss #Feminismus #Cannabis #decolonize #Bremen",955357682013953024,"Bündnis 90/Die Grünen","1 ökonomisch neutral + libertär"
56,"Erhard_Grundl","im #Bundestag für @GrueneBundestag / #Niederbayern/ Sprecher für #Kulturpolitik und #Medienpolitik/ Auswärtige Kultur- & Bildungspolitik/ IG: erhard.grundl",951773879822880768,"Bündnis 90/Die Grünen","1 ökonomisch neutral + libertär"
65,"Schmidt_MdB","Oberpfälzer • tourismuspolit. Sprecher @GrueneBundestag | #Verbraucherschutz | nachhaltiger #Tourismus | #Altersvorsorge | #Kommunalfinanzen •Team twittert mit",930725836282929024,"Bündnis 90/Die Grünen","1 ökonomisch neutral + libertär"
213,"ChrisKuehn_mdb","MdB für #Tübingen | Parlamentarischer Staatssekretär @BMUV | Mitglied @GrueneBundestag (hier privat)",1123130812,"Bündnis 90/Die Grünen","1 ökonomisch neutral + libertär"
283,"IreneMihalic","MdB aus #Gelsenkirchen | Erste Parlamentarische Geschäftsführerin @GrueneBundestag | Mitglied des Parlamentarischen Kontrollgremiums PKGr #Innenpolitik2Life",123000381,"Bündnis 90/Die Grünen","1 ökonomisch neutral + libertär"
289,"KaiGehring","Ausschussvorsitzender Bildung & Forschung | Essener Arbeiterkind im Bundestag @gruenebundestag 👉 https://t.co/nwwdK6LgfR",110368256,"Bündnis 90/Die Grünen","1 ökonomisch neutral + libertär"
2,"TeamDieSchmidt","Hier tweetet, textet und publiziert das Team der SPD Bundestagsabgeordneten Dagmar Schmidt @dieschmidt (Lahn-Dill-Kreis, Wettenberg, Biebertal).",1377117206,"SPD","2 ökonomisch neutral + libertär/autoritär"
2,"schwarz_spd","SPD Bundestagskandidat für Bamberg und Forchheim Andreas Schwarz.",53617577,"SPD","2 ökonomisch neutral + libertär/autoritär"
5,"HiltrudLotze","Sozialdemokratin | Lueneburg | Mitglied des Deutschen Bundestages",38272927,"SPD","2 ökonomisch neutral + libertär/autoritär"
6,"AfDimBundestag","AfD-Fraktion im Deutschen Bundestag https://t.co/Ykqu1braRO",910913583168573440,"AfD","2 ökonomisch neutral + libertär/autoritär"
7,"spdbt","Hier twittert der Newsdesk der SPD-Bundestagsfraktion. Impressum, aktuelle Podcast-Folgen und spannende Links: https://t.co/e2l15mSRwd",327792520,"SPD","2 ökonomisch neutral + libertär/autoritär"
9,"spdbt_netz","Hier twittert die Arbeitsgruppe Digitales der SPD-Bundestagsfraktion. Impressum: https://t.co/si2fLgkKg8",127620350,"SPD","2 ökonomisch neutral + libertär/autoritär"
16,"DagmarFreitag13","MdB 1992-2021 • SPD • Transatlantikerin • Vors. Sport-Ausschuss 2009-2021 • Sauerland • Leichtathletik • Anti-Doping • True Athletes •",1128916258983960064,"SPD","2 ökonomisch neutral + libertär/autoritär"
17,"ElisabethMotsc1","Mitglied des Deutschen Bundestages von 2013-2021 |Staatsrätin a.D. | Bremen",1135510177292197888,"CSU","2 ökonomisch neutral + libertär/autoritär"
21,"ruetzelbernd","MdB | Main-Spessart/Miltenberg | Vorsitzender des Ausschusses Arbeit und Soziales | SPD-Bezirksvorsitzender Unterfranken",1113002723733990016,"SPD","2 ökonomisch neutral + libertär/autoritär"
26,"BerndWestphal2","politisch, pragmatisch, SPD",1071665223120249984,"SPD","2 ökonomisch neutral + libertär/autoritär"
3,"reinhardbrandl","Mitglied im Verteidigungsausschuss 🇺🇦 Mitglied im Ausschuss für Digitales Sprecher für Digitales @cducsubt",262730721,"CSU","3 ökonomisch neutral + autoritär"
8,"cducsupm","Alle Pressemitteilungen der @cducsubt auf einen Blick! Hier wird automatisiert getwittert • Impressum: https://t.co/KGbVUwXufa",308215277,"CSU","3 ökonomisch neutral + autoritär"
10,"cducsubt","Die Unionsfraktion im Deutschen Bundestag • Fraktionschef: @_FriedrichMerz • Sprecher: @warrings • Impressum: https://t.co/mrapTIrRLC",26085533,"CSU","3 ökonomisch neutral + autoritär"
12,"thorsten_frei","MdB •Erster Parlamentarischer Geschäftsführer @cducsubt •Stv. Landesvorsitzender @cdu_bw •Oberbürgermeister a.D. •Jurist •Familienvater",1181598578508214272,"CDU","3 ökonomisch neutral + autoritär"
15,"MPatzeltCDU","@CDU MdB a.D. für Frankfurt(Oder)- Oder-Spree. Themen: #Familien, #Menschenrechte & #Ehrenamt",1159072277726589952,"CDU","3 ökonomisch neutral + autoritär"
19,"StegemannAlbert","Agrarpolitischer Sprecher der CDU/CSU-Bundestagsfraktion",1127961228293129984,"CSU","3 ökonomisch neutral + autoritär"
25,"AntjeTillmann","CDU Bundestagsabgeordnete für Erfurt, Weimar und das Grammetal - Finanzpolitische Sprecherin der CDU/CSU- Bundestagsfraktion",1082925763316367360,"CSU","3 ökonomisch neutral + autoritär"
29,"_ThomasRachel","direkt gewählt für den Kreis Düren🍀, NRW | Parl. Staatssekretär a.D. | Religionspolitischer Sprecher @cducsubt | Entwicklungspolitik🌾| Auswärtiges 🤝🌎",1052522172717379968,"CDU","3 ökonomisch neutral + autoritär"
33,"DaniLudwigMdB","Bundestagsabgeordnete der @CSU Ausschussvorsitzende, Wahlkreis Rosenheim / Bayern, Vorsitzende @brkrosenheim",1019826605022919936,"CSU","3 ökonomisch neutral + autoritär"
60,"MBiadaczMdB","🏛 im Bundestag für den Landkreis Böblingen | 🖤 CDUler | 🦾 Digitales, Arbeit & Soziales | 🇪🇺 überzeugter Europäer",935815000006051968,"CDU","3 ökonomisch neutral + autoritär"
22,"HoffmannForest","MdB | FDP-Fraktion | Stv. Vorsitzender des Ausschusses für wirtschaftliche Zusammenarbeit und Entwicklung | Südbaden | Förster | Bürgermeister a.D.",1085292381205219968,"FDP","4 ökonomisch rechts + libertär/autoritär"
28,"nicole_ae_bauer","Mitglied des Bundestages für Niederbayern | FDP | Sprecherin für Frauenpolitik und Diversity | Mittelstand & Innovation | Ingenieurin 🚀",1061873979760263168,"FDP","4 ökonomisch rechts + libertär/autoritär"
36,"mseesternpauly","Mitglied des Bundestages | Familienpolitischer Sprecher @fdpbt | Osnabrücker Land | https://t.co/fS2hk7f7An",1006099793888819968,"FDP","4 ökonomisch rechts + libertär/autoritär"
38,"RenataAlt_MdB","MdB | Vorsitzende des Ausschusses für Menschenrechte und humanitäre Hilfe | Mitglied @fdpbt-Fraktionsvorstand",1001837201276220032,"FDP","4 ökonomisch rechts + libertär/autoritär"
39,"BrittaDassler","Bundestagsabgeordnete aus Herzogenaurach für die @FDP | Sportpolitische Sprecherin der @fdpbt",998867063272921984,"FDP","4 ökonomisch rechts + libertär/autoritär"
20,"HerbrandMarkus","MdB | Finanzpolitischer Sprecher und Obmann im #Finanzausschuss | #FDP | #Eifel | Begeisterung für #Politik, (Rock-)Musik, @fckoeln & ausgiebige Wanderungen",997138767763750912,"FDP","4 ökonomisch rechts + libertär/autoritär"
21,"MdBKlein","Landesgruppenchef der @fdplgby Bundestagsabgeordneten #MdB | Obmann im Haushaltsausschuss für die @fdpbt | Stadtrat in Aschaffenburg",995228292023085952,"FDP","4 ökonomisch rechts + libertär/autoritär"
22,"NicoleWestig","#MdB | Pflegepolitische Sprecherin @fdpbt",989125229682525952,"FDP","4 ökonomisch rechts + libertär/autoritär"
23,"ulrichlechte","MdB aus Regensburg | Außenpolitischer Sprecher @fdpbt | Obmann im Auswärtigen Ausschuss | Stellv. Landesvorsitzender @fdpbay",988765113606918144,"FDP","4 ökonomisch rechts + libertär/autoritär"
25,"theliberalfrank","Für die @fdpsachsen Mitglied des Deutschen Bundestages | @fdpbt | Auswärtiger Ausschuss | Freiheit ist alles außer selbstverständlich | Stadtrat in Chemnitz",982028002967981952,"FDP","4 ökonomisch rechts + libertär/autoritär"
35,"DrRobbySchlund","ist ein deutscher Politiker (AfD) und seit 2017 Mitglied des Deutschen Bundestages. is a German politician (AfD) and member of the German Bundestag since 2017.",1009025255753601024,"AfD","5 ökonomisch rechts + autoritär"
37,"WolfgangWiehle","Mitglied des deutschen Bundestages (AfD), Mitglied des Haushaltsausschusses und des Verkehrsausschusses",1003656299589132288,"AfD","5 ökonomisch rechts + autoritär"
50,"JoernKoenigAfD","MdB und sportpolitischer Sprecher der @AfD Bundestagsfraktion. Weiterer Schwerpunkt: Digitale Finanzwirtschaft / Kreisvorsitzender Hannover Stadt.",960972630709284992,"AfD","5 ökonomisch rechts + autoritär"
70,"ChrWirthMdB","Dr. Christian Wirth, für das #Saarland und die #AfD im Bundestag",920193967937019904,"AfD","5 ökonomisch rechts + autoritär"
71,"Martin_Sichert","Hier twittert Martin Sichert, Gesundheitspolitischer Sprecher der AfD im Deutschen Bundestag",918205860862381952,"AfD","5 ökonomisch rechts + autoritär"
72,"JuergenBraunAfD","@AfDimBundestag-Abgeordneter | Sprecher für #Menschenrechte, Obmann im Ausschuß für Menschenrechte im #Bundestag; #Umweltausschuß | https://t.co/YlgpsEon92",917756296555892736,"AfD","5 ökonomisch rechts + autoritär"
72,"Th_Seitz_AfD","Rechtspolitischer Sprecher der @AfDimBundestag und Mitglied des Kreistages des Ortenaukreises",913358838736310272,"AfD","5 ökonomisch rechts + autoritär"
75,"SteffenKotre","MdB 20. Deutscher @Bundestag | Energiepolitscher Sprecher der AfD im Bundestag | Tweets: SK&Team",912223223231229056,"AfD","5 ökonomisch rechts + autoritär"
76,"andreasbleckmdb","Mitglied der @AfDimBundestag, Umweltpolitiker, Fußballschiedsrichter, verheiratet, konfessionslos",910878652535750016,"AfD","5 ökonomisch rechts + autoritär"
79,"DrMEspendiller","MdB, Mathematiker, NRW 📈 Sprecher der Landesgruppe NRW der @AfDimBundestag 📑 Politik mit Zahlen, Daten, Fakten https://t.co/289KgIEfGE",885167829685319936,"AfD","5 ökonomisch rechts + autoritär"
0,"ManjaSchuele","Ministerin für Wissenschaft, Forschung und Kultur denn #ZukunftwirdinBrandenburggemacht, hier privat",827090722162099968,"SPD","6 keine Kategorie"
13,"juergen_martens","💼 Bundestagsabgeordneter 17-21 | ⚖️ Rechtspolitischer Sprecher 17-21 | Sächs. Justizminister a.D.",1187686813168820224,"FDP","6 keine Kategorie"
18,"MichaelHennric2","Bundestagsabgeordneter aus dem Wahlkreis Nürtingen",1132260527378290048,"CDU","6 keine Kategorie"
20,"gitta_connemann","Bundesvorsitzende @MIT_bund",1125751225205260032,"CDU","6 keine Kategorie"
23,"MaagKarin","Unparteiisches Mitglied beim GBA ehem.Gesundheitspolitische Sprecherin der CDU/CSU Fraktion",1095023250790550016,"CDU","6 keine Kategorie"
31,"n_roettgen","Mitglied des Deutschen Bundestages | Auswärtiger Ausschuss 🌏 | Optimismus 🚀 Europa 🇪🇺 und Espresso ☕️",1020160799208160000,"CDU","6 keine Kategorie"
52,"FrStraetmanns","Ostwestfale seit Geburt! Zur Zeit aktiv in MV, Läufer, Fußballer und Camper .Dies ist mein privater Account!",959059951523106816,"DIE LINKE","6 keine Kategorie"
58,"Jacobi_AfD","Nein. Nicht F. Jacobi, ein anderer!",922181129222898048,"AfD","6 keine Kategorie"
62,"MieruchMario","Dipl.-Ing.(BA) Mechatronik | industrial automation | kämpft für das freie Mandat | Bundesvorsitzender BFA e.V. | DIG Berlin/BBG | Glaubwürdigkeit & Integrität",932931561015730176,"Liberal-Konservative Reformer","6 keine Kategorie"
80,"BrunnerGanzOhr","🌈 Für die Menschen und Twitter-Bots ""ganz Ohr"".",882929865535705088,"SPD","6 keine Kategorie"
807,"Magnus_Buhlert","Ingenieur, Naturwissenschaftler, Ehrenamtler, Beamter in Niedersachsen. Lebe mit meiner Familie schwerpunktmäßig in Bremen und zeitweise in Niedersachsen.",53386625,"FDP","6 keine Kategorie"
1859,"wettafrosch","#💚 privat hier #Berlinerin",222081285,"Bündnis 90/Die Grünen","6 keine Kategorie"
322,"MarcHenrichmann","Leidenschaftlicher Münsterländer. Für den Wahlkreis Coesfeld-Steinfurt II im Deutschen Bundestag. CDU. Faible für Innenpolitik und den offenen, fairen Dialog.",22608858,"CDU","3 CDU/CSU: ökonomisch neutral + autoritär"
1655,"TinaWinklmann","gelernte Verfahrensmechanikerin. Bundestagsabgeordnete. sportpolitische Sprecherin @gruenebundestag. Mitglied im Ausschuss für Arbeit & Soziales.",1209889720665520128,"Bündnis 90/Die Grünen","1 Grüne: ökonomisch neutral + libertär"
967,"DragosGruene","Landtagsabgeordneter Niedersachsen B90/GRN | Verbraucherschützer & Europäer | Stadtrat & Kreistagsabgeordneter #Brake #Wesermarsch #Hannover",622519881,"Bündnis 90/Die Grünen","1 Grüne: ökonomisch neutral + libertär"
279,"MatthiasHeider","Rechtsanwalt, MdB, stellv. Vorsitzender im Wirtschaftsauschuss @Bundestag und der @MIT_Bund",152062825,"CDU","6 keine Kategorie"
328,"AMattfeldt","Seit 2009 direkt gewählter Bundestagsabgeordneter für den Osterholz - Verden im Bundesland Niedersachsen. Inhaber der Kgl. Preußischen Biermanufactur",23227001,"CDU","6 keine Kategorie"
269,"Andi_Wagner","Tätig als Heilerziehungspfleger | Werkzeugmacher | 2017-2021 Mitglied des Deutschen Bundestag | parteilos | Geschichte & Politik | #GemeinsamZukunftgestalten ☀️",235703205,"DIE LINKE","6 keine Kategorie"
921,"marcusbocklet","MdL, Hessen, sozial- und gesundheitspolitischer Sprecher der Grünen Landtagsfraktion",218965191,"Bündnis 90/Die Grünen","1 Grüne: ökonomisch neutral + libertär"
971,"DetlevSchulzHen","Fraktionsvorsitzender der Grünen Landtagsfraktion in #Niedersachsen aus #Amelinghausen. Medienpolitischer Sprecher und Bahnjunkie #ltnds",537923299,"Bündnis 90/Die Grünen","1 Grüne: ökonomisch neutral + libertär"
262,"pascalmeiser","Alternder Fußballer & Mitglied des Deutschen Bundestags, WK #Friedrichshain #Kreuzberg #PrenzlauerBergOst & Vorsitzender DIE LINKE Friedrichshain-Kreuzberg",312532722,"DIE LINKE","0 Linke: ökonomisch links + libertär"
1611,"UliGroetsch","Mitglied des Bundestages, Kreisrat, etc selten privat aber immer im Einsatz für Freiheit und Demokratie",867351565757239296,"SPD","6 keine Kategorie"
1593,"SaskiaLudwigCDU","Mitglied des Landtages Brandenburg - WK 19, liebt Familie, Freiheit und Fairness. LEGO-Coach",272261226,"CDU","6 keine Kategorie"
1562,"NBJule","MdL Landtag MV, Mitglied der Stadtvertretung Neubrandenburg it's not easy to be green, hier privat unterwegs retweet bedeutet nicht automatisch Zustimmung",1239289019,"Bündnis 90/Die Grünen","1 Grüne: ökonomisch neutral + libertär"
239,"LieblingXhain","Rechtsanwältin | Lawyer 💚 Mitglied des Bundestages | Member of Deutscher #Bundestag 🌻 #wk83 #Friedrichshain #Kreuzberg #PBergOst #Berlin",587862375,"Bündnis 90/Die Grünen","1 Grüne: ökonomisch neutral + libertär"
389,"AnetteKramme","Parlamentarische Staatssekretärin bei der Bundesministerin für Arbeit und Soziales, MdB",1261705757,"SPD","6 keine Kategorie"
235,"JanaSchimke","Bundestagsabgeordnete, Vorsitzende des Tourismusausschuss im Deutschen Bundestag, stv. Vorsitzende der Mittelstandsunion (MIT)",728990858,"CDU","3 CDU/CSU: ökonomisch neutral + autoritär"
1802,"guterolaf","Umweltstaatssekretär a.D. im Grünen Herzen Deutschlands - hier privat",902725350052893056,"Bündnis 90/Die Grünen","1 Grüne: ökonomisch neutral + libertär"
1527,"dirk_liebe","#Privat | #Berliner in der dritten Generation | #UNVEU | @bsb_berlin",1133202738322770048,"SPD","6 keine Kategorie"
883,"holger_bellino","Parlamentarischer Geschäftsführer der CDU-Fraktion im Hessischen Landtag",1023932890973958144,"CDU","3 CDU/CSU: ökonomisch neutral + autoritär"
1515,"A_J_Herrmann","Direkt gewähltes Mitglied des Abgeordnetenhauses von Berlin - vor Ort. in Kaulsdorf-Nord und Hellersdorf-Süd",231728530,"CDU","6 keine Kategorie"
221,"peter_jahr","Als CDU-Abgeordneter. Für Sachsen. In Europa. Hier twittern mein Brüsseler Team & ich.",3119157183,"CDU","3 CDU/CSU: ökonomisch neutral + autoritär"
1013,"Fabian_Schrumpf","NRW Landtagsabgeordneter für den Essener Süden | Sprecher für Bauen 🏗 und Wohnen 🏡 der CDU Landtagsfraktion | Vater von vier Töchtern 👨‍👩‍👧‍👧👶🏼👶🏼",736638316976721920,"CDU","3 CDU/CSU: ökonomisch neutral + autoritär"
1257,"OpheliaNick","Bundestagsabgeordnete (MdB) und parl. Staatssekretärin im BMEL – B’90/Die Grünen | Für eine zukunftsfähige Land- und Ernährungswirtschaft 🌻🥕🚜",2527051226,"Bündnis 90/Die Grünen","1 Grüne: ökonomisch neutral + libertär"
1253,"SaschaMuller","MdB für BÜNDNIS 90/DIE GRÜNEN, WK Nürnberg-Süd/Schwabach. Obmann im Finanzausschuss des Deutschen Bundestages. Co-Sprecher der bayerischen Landesgruppe.",52793798,"Bündnis 90/Die Grünen","1 Grüne: ökonomisch neutral + libertär"
2000,"BMVg_Bundeswehr","Bundesministerium der Verteidigung. Presseanfragen nur via https://t.co/ZzaxS9pMUq | German MoD official | Also follow: @bundeswehrinfo",1121700961125314560,,"6 keine Kategorie"
1217,"Macit_SPD","🏛 Bundestagsabgeordneter 🔴 Sozialdemokrat 📌 Wahlkreis Ludwigsburg 👨‍⚖️ Rechtsausschuss 🇩🇪🇹🇷 Sprecher in der Dt./Türk. PG",572582030,"SPD","2 SPD: ökonomisch neutral + libertär/autoritär"
1821,"StMGP_Bayern","Bayerisches Staatsministerium für Gesundheit und Pflege – Offizieller Twitter Account. Informationen zu Gesundheit und Pflege in Bayern und zur Corona-Pandemie.",1318570860651909120,,"6 keine Kategorie"
828,"BarisOenes","Abgeordneter | Volljurist⚖ | Arbeiterkind | Sozialdemokrat | In Hamburg-Billstedt aufgewachsen | Für eine💯% tolerante, gerechte & soziale Gesellschaft",2285038029,"SPD","2 SPD: ökonomisch neutral + libertär/autoritär"
565,"Johannes_Becher","Mitglied des Bayerischen Landtags, B90/Grüne. Themen: Kommunales, frühkindliche Bildung, Flugverkehr. Vize der Kinderkommission. Stadtrat, Kreisrat.",807126581128515968,"Bündnis 90/Die Grünen","1 Grüne: ökonomisch neutral + libertär"
570,"Thomas_Gehring_","MdL, Vizepräsident, Sprecher für lebenslanges Lernen, B90/Die Grünen im Bayerischen Landtag",725238157722173440,"Bündnis 90/Die Grünen","1 Grüne: ökonomisch neutral + libertär"
577,"RichardGraupner","AfD-Fraktion Landtag Bayern, innenpolitischer Sprecher",3822651715,"AfD","5 AfD: ökonomisch rechts + autoritär"
518,"HPStauch","Ehemaliger AfD-Abgeordneter für den Wahlkreis Hechingen-Münsingen (WK 61) im Landtag von Baden-Württemberg (* vom MdL gepostet)",826039153301266432,"AfD","5 AfD: ökonomisch rechts + autoritär"
820,"filizdemi","Mitglied der Hamburgischen Bürgerschaft / Sprecherin für Arbeitsmarkt, Migration und Antidiskriminierungspolitik der Grünen Fraktion",2976072813,"Bündnis 90/Die Grünen","1 Grüne: ökonomisch neutral + libertär"
1285,"HeikeWernerTH","Thüringer Ministerin für Arbeit, Soziales, Gesundheit, Frauen und Familie; Mitglied Landesvorstand LINKE Thüringen",3197621226,"DIE LINKE","0 Linke: ökonomisch links + libertär"
1203,"Connylue","Fraktionsvorsitzende Grüne Sachsen-Anhalt 🌻 | Klimaschutz, Mobilitätswende und Demokratiesicherung",56629516,"Bündnis 90/Die Grünen","1 Grüne: ökonomisch neutral + libertär"
658,"regina_kittler","„Ändere die Welt, sie braucht es!“(Brecht) Vorsitzende dbv Berlin; Kultur & Bildung; Linksfraktion #MaHe, private Meinung",715122623390914944,"DIE LINKE","0 Linke: ökonomisch links + libertär"
1913,"hreul","Minister des Innern in NRW. Aus dem Bergischen Land, von 2002 - 2017 im Europäischen Parlament.",38171370,"CDU","6 keine Kategorie"
769,"carstensieling","Ökonom, Bürgermeister a.D., Beauftragter Arbeitnehmerkammer Bremen; Board of Directors Forum of Federations; Beratung 22.0; mag Rennrad, #Werder u Monferrato",1225678398518759936,"SPD","6 keine Kategorie"
1099,"hendrikhering","Präsident des Landtags Rheinland-Pfalz, Kreistagsmitglied im Westerwaldkreis, Staatsminister a.D.",220228906,"SPD","6 keine Kategorie"
1737,"patrickrappmdl","Mitglied des Landtags von Baden-Württemberg - Staatssekretär im Ministerium für Wirtschaft, Arbeit und Tourismus - Wahlkreis Breisgau",1052021325277080064,"CDU","6 keine Kategorie"
336,"fbrantner","MdB direkt gewählt für Heidelberg Neckar/Bergstraße | Parlamentarische Staatssekretärin @BMWK | privater Kanal | Toots: https://t.co/Z2amQcAj9e",32323722,"Bündnis 90/Die Grünen","6 keine Kategorie"
1210,"SerapGueler","MdB & Mitglied des Verteidigungsausschusses. Stellv. Mitglied im Innenausschuss/ Bundesvorstandsmitglied CDU/ stellv. Vorsitzende der CDU Köln",2625960522,"CDU","3 CDU/CSU: ökonomisch neutral + autoritär"
850,"YusufUzundag","Abgeordneter der Hamburgischen Bürgerschaft. Sprecher für freiwilliges Engagement GRÜNE Fraktion.",2232282311,"Bündnis 90/Die Grünen","1 Grüne: ökonomisch neutral + libertär"
853,"DenizCelikhh","MdHB der Fraktion DIE LINKE, Fachsprecher für Gesundheit und Innenpolitik",522321802,"DIE LINKE","0 Linke: ökonomisch links + libertär"
1825,"csu_lt","Hier twittert die Pressestelle der CSU-Fraktion im Bayerischen Landtag.",286626781,"CSU","3 CDU/CSU: ökonomisch neutral + autoritär"
223,"Timon_Gremmels","Mitglied des Bundestags für Kassel. Schwerpunkt: Erneuerbare Energien. Vors. SPD-Hessen-Nord, stellv. Landesvors. HessenSPD, Sprecher Landesgruppe Hessen 🏳️‍🌈",292809822,"SPD","2 SPD: ökonomisch neutral + libertär/autoritär"
2021,"Vogel_Axel","Minister für Landwirtschaft, Umwelt und #Klimaschutz #Eberswalde hier privat",2839261502,"Bündnis 90/Die Grünen","6 keine Kategorie"
1855,"FischerSeverin","Staatssekretär für Energie und Betriebe bei der @SenWiEnBe - hier privat unterwegs",2732230173,"SPD","6 keine Kategorie"
1786,"rimuehl","Polizist und etwas Politiker. Thüringer Landtag - Innenpolitischer Sprecher und im Stadtrat Erfurt",266190025,"AfD","6 keine Kategorie"
1881,"AfD_MV","Wir sind der Landesverband Mecklenburg-Vorpommern der Alternative für Deutschland",1567658617,"AfD","5 AfD: ökonomisch rechts + autoritär"
1917,"SHolthoff","Minister für Bundes- und Europaangelegenheiten sowie Internationales des Landes NRW",1019630232,"CDU","6 keine Kategorie"
1918,"ch_dammermann","Liberaler Westfale. Staatssekretär a.D.",298203036,"FDP","4 FDP: ökonomisch rechts + libertär/autoritär"
723,"kaddinsky","Mitglied des Berliner Abgeordnetenhauses, Grüne Überzeugungstäterin, Sprecherin für Wohnen & Mieten plus Haushaltspolitik, direkt gewählt im WK1 Kreuzberg",22753272,"Bündnis 90/Die Grünen","1 Grüne: ökonomisch neutral + libertär"
1615,"groehe","Bundestagsabgeordneter aus dem Rhein-Kreis Neuss. Member of the German Parliament. Stellv. Vorsitzender der CDU/CSU-Bundestagsfraktion und der KAS.",92363832,"CDU","3 CDU/CSU: ökonomisch neutral + autoritär"
1021,"Alexbrockmeier","Mitglied des Landtags Nordrhein-Westfalen | Jüngster Abgeordneter | 27 | Freie Demokraten | Jura-Student | Insta: _brockmeier",121585108,"FDP","4 FDP: ökonomisch rechts + libertär/autoritär"
1919,"DirkGuennewig","hier twittert der Staatssekretär im Ministerium der Finanzen Nordrhein-Westfalen #Düsseldorf. CV: https://t.co/GKaaxYKJnd Foto: B. Engel-Albustin",212551591,"CDU","6 keine Kategorie"
771,"YAverwerser","Politikerin, Bildungspolitische Sprecherin, unabhängig, nicht nachtragend",1135972223772720000,"CDU","6 keine Kategorie"
1829,"Crickerts","Staatssekretär @SenWiEnBe a.D.| Wikimedian (@WikimediaDe) a.D.",52333983,"no party affiliation","6 keine Kategorie"
120,"MuellerChemnitz","Lokomotivführer. MdB, Stellvertretender Vorsitzender der SPD-Bundestagsfraktion. Verkehr & Digitales. Stadtrat in Chemnitz. Twittere selbst.",782760007275516032,"SPD","2 SPD: ökonomisch neutral + libertär/autoritär"
1759,"Der_FrederiCo","- MdL in NRW - Vorsitzender (NRW Jusos) a.D. / Für die Jusos im Vorstand der NRWSPD",1128863881,"SPD","2 SPD: ökonomisch neutral + libertär/autoritär"
2020,"joergstb","Minister für Wirtschaft, Arbeit und Energie des Landes Brandenburg/Team twittert seit dem 30.11.2018 mit",131802180,"SPD","6 keine Kategorie"
567,"SteinbergerRosi","Mitglied des Bayerischen Landtags, B90/Die Grünen, Vorsitzende im Ausschuss für Umwelt und Verbraucherschutz. Gemeinderätin",787981208061054976,"Bündnis 90/Die Grünen","1 Grüne: ökonomisch neutral + libertär"
