,user,profile
78,koehler_fdp,"Stellv. Fraktionsvorsitzender @fdpbt für Klima & Energie, Wirtschaft, Arbeit & Soziales, Gesundheit, Tourismus; Generalsekretär @fdpbay + Mitglied BuVo @fdp"
79,DrMEspendiller,"MdB, Mathematiker, NRW 📈 Sprecher der Landesgruppe NRW der @AfDimBundestag 📑 Politik mit Zahlen, Daten, Fakten

 https://t.co/289KgIEfGE"
80,BrunnerGanzOhr,"🌈 Für die Menschen und Twitter-Bots ""ganz Ohr""."
81,SchaeferCDU,Bundestagsabgeordnete der CDU im Wahlkreis 210
82,carina_konrad,"Freie & liberale Agraringenieurin - stv. Vorsitzende der FDP Bundestagsfraktion, stv. Vorsitzende der FDP RLP - landsüchtig & lebenslustig 🌳💛"
83,SybilleBenning,Bundestagsabgeordnete für die Stadt Münster. Ich twittere selbst (/sb) oder mein Team (/tb).
84,CorinnaMiazga,"Abgeordnete des Deutschen Bundestages, Stellv. Fraktionsvorsitzende der @AfDimBundestag. Wahlkreis Straubing, gewählt über die Landesliste."
85,NKleinwaechter,"Stellvertretender Vorsitzender der AfD-Bundestagsfraktion im 20. Deutschen Bundestag. 

FB: https://t.co/APcCpLsHGw…
IG: https://t.co/vkMUrOy2iw"
86,S_Muenzenmaier,Stellv. AfD-Fraktionsvorsitzender | Ihr Abgeordneter aus Rheinland-Pfalz
87,Meyer_FDP,"Berliner MdB, stellv. Vorsitzender der @fdpbt, Freiheitsfreund in der @FDP, Landesvorsitzender der @FDP_Berlin. Wenn mein Team mal twittert, dann unter TM."
88,sandra_weeser,"MdB (@fdpbt), Vorsitzende des Ausschusses Bauen & Wohnen, Mitglied im Vorstand von @fdprlp und @fdpbt, Mitglied im #FDP-BuVo"
89,JBrandenburgFDP,Parl. Staatssekretär @bmbf_bund | MdB | @fdpbt | 🏳️‍🌈 | Mein Team twittert als (TB)
90,GustavHerzogMdB,Direkt gewählter Abgeordneter des Wahlkreises Kaiserslautern im deutschen Bundestag bis 2021. Mitglied der SPD
91,UdoHemmelgarn,Freigeist!
92,KlausMindrup,"MdB 2013-2021 • SPD • Diplom-Biologe • aktiver Genossenschaftler mit PV auf dem Dach und BHKW • weiter für EE, Klimaschutz und bezahlbaren Wohnraum aktiv"
93,NinaScheer_SPD,"SPD-Bundestagsabgeordnete, Klimaschutz- und Energiepolitische Sprecherin SPD-Bundestagsfraktion - tweete selbst, Initiatorin von https://t.co/h1UkZlyaqZ"
94,h_weyel,"MdB, EU-politischer Sprecher der AfD-FRAKTION seit 2017; Themen: #EU, Außen(wirtschafts)- sowie (inter)nationale Geschichts- & Identitäts-POLITIK"
95,Alice_Weidel,Fraktionsvorsitzende der @AfDimBundestag | AfD-Bundessprecherin
96,Rene_Springer,AfD | Brandenburg | Abgeordneter im Deutschen Bundestag | Arbeits- und sozialpolitischer Sprecher der AfD-Fraktion | stv. Mitglied im Auswärtigen Ausschuss
97,c_bernstiel,Stadtrat in Halle (Saale) | Bundestagsabgeordneter von 2017 - 2021 für #Halle #Landsberg #Petersberg #Kabelsketal | https://t.co/f2RSGhIkd3
98,Oehmeulrich,"Ich kandidiere als Oberbürgermeister für Chemnitz. Auf dieser Präsenz möchte ich Sie über meine Aktivitäten, Pläne und Termine informieren."
99,WSchinnenburg,"Zahnarzt, Rechtsanwalt, Mitglied der Bezirksversammlung Hamburg-Nord. Asphalt-Cowboy. Anti-Prokrastinator. Raffaello-Addict."
100,HoubenReinhard,"MdB, Wirtschaftspolitischer Sprecher🚀, Obmann im Wirtschaftsausschuss 🏛 für die @fdpbt. Tweets vom Team sind mit (TH) gekennzeichnet."
101,katrin_staffler,Mitglied des Deutschen Bundestages 🇩🇪 | Direkt gewählte Abgeordnete für den Wahlkreis FFB/DAH 💙🤍 | Bildung und Forschung 📚🔬
102,ProfMaier,"Professor für Verbraucherschutz
Mitglied des dt. Bundestages 2017-2021 
2015-2017 Sprecher AfD BW 
Bücher u.a.: ""Was von Deutschland übriggbleibt""; ""DEXIT""."
103,StephPilsinger,"Arzt, Münchner, Bundestagsabgeordneter im Wahlkreis München-West/Mitte"
104,M_HarderKuehnel,Stv. Bundessprecherin | MdB für die #AfD | Wahlkreis 175 (Main-Kinzig-Wetterau II-Schotten)
105,JoanaCotar,"Mitglied des Deutschen Bundestages, fraktions- und parteilos"
106,DrJoeWeingarten,Direkt gewählter SPD-MdB für Bad Kreuznach/Birkenfeld (RLP); Wirtschafts- und Verteidigungspolitik. Hier twittern mein Team und ich.
107,PetrBystronAfD,"Aussenpolitischer Sprecher der @AfDimBundestag  | https://t.co/QVsSs8RsxU |  https://t.co/xxAb104OUZ https://t.co/1dUXDYzfWE |
verified by postillion 📯"
108,DirkSpaniel,"#MdB #Stuttgart. Verkehrspolitischer Sprecher #AfDimBundestag. Maschinenbauingenieur, Macher, Familienvater, Patriot.

https://t.co/Xow8TkJvmJ"
109,DerDanyal,🇪🇺 Europäer • 👶🏼 Vater • 💶 Minister @finanzenbw
110,mischrodi,SPD-MdB für Dachau + Fürstenfeldbruck. Finanzpolitischer Sprecher der Bundestagsfraktion. Demokratischer Sozialist und Sechzger. Twittere selbst.
111,MarcBernhardAfD,#Bundestagsabgeordneter • Sprecher der Landesgruppe Baden-Württemberg • Sprecher #AfD #Karlsruhe
112,Dr_Rainer_Kraft,"MdB des Wahlkreis Augsburg-Land, Landesgruppenvorsitzender, Sprecher für Nuklearpolitik und Nachhaltigkeitspolitik bei @AfDimBundestag"
113,BraFDP,"MdB für die #Südpfalz | Parl. Staatssekretär @bmbf_bund | @EYL40 | 
(TB) = Team Brandenburg"
114,mueller_sepp,"Abgeordneter für Dessau-Roßlau und den Landkreis Wittenberg, stellv. Fraktionsvorsitzender der CDU/ CSU- Fraktion — Mein Team twittert unter tm - Foto:@toko"
115,Matthiasnoelke,📍 Kassel / Berlin 👱🏻‍♂️ Liberal 🧳 Ex-MdB @fdpbt 🏗 Startups 🏎 Cars ✈️ Travel 🖼 Art & History
116,AkbulutGokay,"MdB @Linksfraktion im Bundestag | Sprecherin für Migration, Familie und bürgerschaftliches Engagement | Federal Parl. Milletvekili | es twittern Gökay & Team"
117,Tino_Chrupalla,Bundessprecher der #AfD |  Fraktionsvorsitzender der @AfDimBundestag | Handwerksmeister aus Görlitz
118,GruebelMdb,CDU-Bundestagsabgeordneter WK Esslingen Parlamentarischer Staatssekretär a.D. Notar i.R. Beauftragter der Bundesregierung für weltweite Religionsfreiheit a.D.
119,StefanKeuterAfD,@AfDimBundestag-MdB für den WK 120 (Essen).
120,MuellerChemnitz,"Lokomotivführer. MdB, Stellvertretender Vorsitzender der SPD-Bundestagsfraktion. Verkehr & Digitales. Stadtrat in Chemnitz. Twittere selbst."
121,FGuentzler,Bundestagsabgeordneter 🇩🇪🙋‍♂️I Wirtschaftsprüfer und Steuerberater 😊I FC Bayern-Fan ⚽️ I Göttingen 💪
122,Paul_Podolay,"Paul Viktor Podolay, @AfDimBundestag-MdB. | AfD Delegierter bei der OSCE PA. | Folgen Sie auch @AfD #AfD #Bundestag ➡️FB: https://t.co/hbm2IHNhdM"
123,Neumann_AfD,"Christoph Neumann, @AfDimBundestag-MdB. | Profil im Aufbau. | Folgen Sie bitte auch @AfD & @AfDKompakt. #AfD #Bundestag"
124,LeniBreymaier,"Bundestagsabgeordnete (SPD), aus Baden-Württemberg, WK Aalen-Heidenheim - Schwerpunkte: Wahlrecht, Altersarmut, Entgeltgleichheit, Prostitution."
125,Leif_Erik_Holm,"Stv. Fraktionsvorsitzender @AfDimBundestag, Wirtschaftspolitischer Sprecher, Landessprecher @AfD_MV 
(th= Team Holm)"
126,josip_juratovic,"Unser Arbeiter in Berlin.

Wahlkreis Heilbronn, Auswärtiger Ausschuss: Westbalkan und Europa.

Tweets: Team Juratovic"
127,Marcus_Buehl,"Mitglied der AfD-Bundestagsfraktion, Mitglied im Haushaltsausschuss, stellv. Mitglied im Innenausschuss. Ihre Thüringer Stimme in Berlin."
128,MdB_Ulrike_Bahr,"Mittelschullehrerin, Stadträtin bis 2014, Mitglied des Bundestags seit 2013, Schwerpunkte: Familien- und Bildungspolitik; @spdbt"
129,Schneider_AfD,"Jörg Schneider, @AfDimBundestag-MdB (im Ausschuss für Arbeit+Soziales & im Gesundheitsausschuss), #AfD-Landesgruppe #NRW | Kreissprecher @AfD_GE #Gelsenkirchen."
130,Jochen_Haug,Rechtsanwalt | Mitglied des 19. u. 20. Deutschen Bundestages @AfDimBundestag | EU-Ausschuß | #AfD
131,StBrandner,"Industriekaufmann, Rechtsanwalt, MdB🇩🇪 - direkt gewählt im WK 194 (Gera-Greiz-Altenburger Land), natürlich: #AfD👍"
132,StefingerMdB,Münchner. Bayer. Bundestagsabgeordneter. Obmann der CDU/CSU-Fraktion im Ausschuss für wirtschaftliche Zusammenarbeit und Entwicklung
133,RyglewskiS,"SPD-Bundestagsabgeordnete für den Wahlkreis 54 - Bremen I,
Staatsministerin beim Bundeskanzler, hier privat unterwegs"
134,DorisAchelwilm,@dorisachelwilm@norden.social
135,MichaelFrieser,"#MdB #Bundestagsabgeordneter, Justitiar der @cducsubt. Aus #Nuernberg"
136,ZdebelHubertus,Von 2013-2021 war ich MdB in der #Linksfraktion und deren Sprecher für den Atomausstieg. #dieLinke
137,Witt_Uwe,"Mitglied des Deutschen Bundestages, parteilos"
138,ElsnervonGronow,"Ehem. Mitglied des Deutschen Bundestags (WK 146 #Soest). 
Verteidigungs- und Sicherheitspolitik"
139,NorbertMuellerP,sozialistisch - links - demokratisch - antifaschistisch. Hier privat.
140,MichaelKuffer,Mitglied des Deutschen Bundestages
141,jankortemdb,"1. PGF & kulturpolitischer Sprecher @Linksfraktion. Stellv. Vorsitzender @rosaluxstiftung. Hier twittern Jan & Team. 
🐘 @jankorte@social.linksfraktion.de"
142,Marc_Jongen,"Kulturpolitischer Sprecher der @AfDimBundestag, Mitglied in den Ausschüssen für Kultur & Medien und für Bildung, Forschung & Technikfolgenabschätzung"
143,stamm_fibich,"Bundestagsabgeordnete, 
Vorsitzende des Petitionsausschusses,
Patientenbeauftragte der SPD-Bundestagsfraktion"
144,KorkmazGT,Digitalpolitikerin | stellvertretende Vorsitzende @NRWSPD
145,YvonneMagwas,"Vizepräsidentin des Deutschen Bundestages, direkt gewählte Bundestagsabgeordnete @cducsubt für das Vogtland."
146,DerLenzMdB,"Mitglied des Deutschen Bundestags, CSU, Wahlkreis 213 Erding-Ebersberg, Energie; Wirtschaft; Nachhaltigkeit und alles andere.."
147,CarstenTraeger,Umweltpolitischer Sprecher der SPD-Bundestagsfraktion; MdB
148,Toens_NRW04,"Sozialdemokrat, Europäer, Schalker, Mitglied des Bundestag für den WK Gelsenkirchen, stellvertretender Vorsitzender EU-Ausschuss #spd #schalke"
149,vonGottberg_AfD,"MdB Wilhelm von Gottberg, Bundestagsabgeordneter der #AfD #Niedersachsen. | Nur Platzhalter-/Support-Acc., Kontakt also nicht hier, sondern an @AfDimBundestag."
150,Jan_Nolte_AfD,Klarer Kurs für Deutschland! 🇩🇪
151,WaldemarHerdt,"Waldemar Herdt, @AfDimBundestag-MdB. #AfD #Bundestag | Folgen Sie bitte auch @AfD, @AfDRus & @AfDKompakt. https://t.co/QS2dIZ5bsA"
152,Ulrich_Oehme,"Ulrich Oehme, @AfDimBundestag-MdB | Bitte auch @AfD & @AfDKompakt folgen! https://t.co/mVD5hakXZR"
153,PeterFelser,MdB Peter Felser
154,AWidmannMauz,"#MdB Wahlkreis #Tübingen, Staatsministerin a.D., @CDU-Bundesvorstand, Bundesvorsitzende Frauen Union #FU"
155,victorperli,Mitglied des Bundestages • Haushaltsausschuss • Meldeportal https://t.co/V8zESLgpPc • Sprecher für Umverteilung @linksfraktion • Vorstand @rosaluxstiftung
156,stadler_svenja,🌹Bundestagsabgeordnete SPD | 📍Wahlkreis LK Harburg | 💰Haushaltspolitikerin mit ❤️ für 🌳 und 🐱| 👩🏼‍💼Kuratoriumsvorsitzende @mgw_berlin
157,Thomas_Ehrhorn,@AfDimBundestag-MdB der #AfD #Niedersachsen.
158,AndreasSteier,MdB für Trier und Trier-Saarburg 2017-2021 | Ingenieur und Erfinder mit mehreren Patenten | Künstliche Intelligenz und Innovationen | @cdu @cdurlp @cducsubt
159,TorbjoernKartes,"Kreisvorsitzender CDU Ludwigshafen, Familienvater, Rechtsanwalt"
160,Heiko_Wildberg,"Dr. Heiko Wildberg, @AfDimBundestag-MdB | Profil im Aufbau. | Bitte auch @AfD & @AfDKompakt folgen!"
161,MarkusPaschke,SPD-Bundestagsabgeordneter a.D. für den Wahlkreis Unterems
162,Nicole_Hoechst,Folgen Sie bitte auch @AfDimBundestag  @AfD
163,MAStrackZi,MdB | Vorsitzende Verteidigungsausschuss | Mitglied FDP-Bundesvorstand | Mitglied @fdpbt-Fraktionsvorstand | Bürgermeisterin a.D. | 🏍-Fahrerin
164,BerndBaumannAfD,"MdB Dr. Bernd #Baumann, Wirtschaftswissenschaftler, #AfD Hamburg, 1. Parlamentarischer Geschäftsführer der @AfDimBundestag| @AfD"
165,BerndBaumannAfD,"MdB Dr. Bernd #Baumann, Wirtschaftswissenschaftler, #AfD Hamburg, 1. Parlamentarischer Geschäftsführer der @AfDimBundestag| @AfD"
166,michael_g_link,Mitglied des Deutschen Bundestages; Sprecher für Europapolitik @fdpbt; Transatlantik-Koordinator; Staatsminister a.D.; @osce_odihr Direktor a.D.
167,GabyKatzmarek,"Hier twittert Gabriele Katzmarek, #MdB, Mitglied der SPD-Bundestagsfraktion. Im Bundestag für den Bundestagswahlkreis Rastatt/Baden-Baden."
168,Peter_Stein_CDU,"Entwicklungspolitik, Erneuerbare Energien, Stadtplaner, ehem. MdB, jetzt @BrotfürdieWelt, Volleyballer, Christ, Eine Welt"
169,MarcusHeld_SPD,https://t.co/KWxXruqQUB
170,UllaJelpke,"Zeit für einen Abschied.
Account nutzte ich in meiner Zeit als innenpolitische Sprecherin der @linksfraktion im Deutschen Bundestag von 1990-2002 + 2005-2021."
171,AlexanderRadwan,"Direkt gewählter Abgeordneter für Bad Tölz-Wolfratshausen und Miesbach. Europa & Auswärtiges, manchmal noch Finanzen. Europapolitischer Sprecher der CSU im BT."
172,MichaelGrossAWO,AWO Präsidiumsvorsitzender
173,fritzfelgentreu,"Mitglied des 18. und des 19. Deutschen Bundestages. @Reichsbanner Schwarz-Rot-Gold, @Volksbund deutsche Kriegsgräberfürsorge, @spdneukoelln. Discite Donatum!"
174,cdu_schweiger,Mitglied des Landesvorstandes der CDU Sachsen-Anhalt und Kreisvorsitzender der CDU Mansfeld-Südharz
175,Lothar_Binding,Bundesvorsitzender AG SPD 60 plus | Finanzpolitischer Sprecher der SPD-Bundestagsfraktion @spdbt (2012-2021) | MdB für Heidelberg & die Bergstraße (1998-2021)
176,Conni_Moehring,Feministin - MdB LINKE im Bundestag Sprecherin Entwicklungspolitik #reproduktiveGerechtigkeit #GlobaleSolidarität #sexuelleSelbstbestimmung #globalHealth
177,M_Reichardt_AfD,"Familienpolitischer Sprecher @AfDimBundestag Mitglied des @AfD Bundesvorstands
Landesvorsitzender und #BTW-Spitzenkandidat der @AfD_LSA | Direktkandidat WK 73"
178,Renner_AfD,"Martin E. Renner, @AfDimBundestag-MdB. #Bundestag #AfD #NRW"
179,Huber_AfD,"Johannes Huber, @AfDimBundestag-MdB. | Profil im Aufbau. | Folgen Sie bitte auch @AfD & @AfDKompakt. #AfD #Bundestag"
180,TobiasMPeterka,"▫ Diplom-Jurist, Wirtschaftsjurist (Univ. Bayreuth) ▫ Mitglied des Bundestages ▫ Rechtsausschuss ▫ Bezirksvorsitzender AfD Oberfranken 🇩🇪"
181,Kai_Whittaker,🇩🇪 MdB 📓CDU 🗂 Arbeit und Soziales 🗺 Wahlkreis 273 Rastatt 📢 Kreisvorsitzender CDU Baden-Baden 📅 1985📱Ich twittere selbst.👇🏻 Impressum
182,GerdesMdB,"geb. 1960, Elektrohauer, Vorsitzender der SPD Bottrop, Mitglied im Rat, Mitglied des Bundestages. Politik heißt für mich: Einmischen, kümmern, zupacken!"
183,marianwendt,KAS 🇬🇷🇨🇾. MdB 2013-2021. CDU. THW. Rettungsdienst. Segler. Dankbar für die Einheit.
