,user,profile
452,henrikehahn,Member @Europarl_de @GreensEFA for @Gruene_Bayern 🏭🌱Fighting for #GreenIndustry #ChipsAct #CRMA #RawMaterial #GreenEconomy #GreenNewDeal Working on🇺🇸🇨🇳
453,BirgitSippelMEP,"🇪🇺 Mitglied des @europarl_EN 🗣️ Sprecherin der @theprogressives im Ausschuss für bürgerliche Freiheiten, Justiz & Inneres 📍Soest, NRW"
454,ErnstCornelia,Sächsische MdEP @dieLinkeEP Innenausschuss & Industrieausschuss. MEP @Left_EU Committee for Civil Liberties (LIBE) & Committee for Industry and Energy (ITRE).
455,KrahMax,"Maximilian Krah, Dr. iuris, MBA der Columbia Business School, Vater, Mitglied des Europäischen Parlaments und des Bundesvorstands der AfD."
456,delarabur,"SPD-Europaabgeordnete, umwelt-&klimapolitische Sprecherin @spdeuropa, #GreenDeal wie ne 🍉: grüne + öko Schale, roter + gerechter Kern! 🙃"
457,svenja_hahn,"🇪🇺 Abgeordnete @fdpineuropa • Vice President @aldeparty • Vorsitzende @fdp Fachausschuss Internationale Politik • Handel, Binnenmarkt, Digitales •"
458,k_langensiepen,Member of Europäischen Parlaments | MEP | Greens/EFA Stellv. Vorsitzende d. Sozialausschuss (EMPL) Mitglied im Aussen+Binnenausschuss (AFET+ IMCO) ♿️(she/her)
459,ANiebler,"MdEP für Oberbayern & München in der EVP, Vors. der CSU-Europagruppe & stv. CSU-Parteivorsitzende, ITRE & JURI ☞ Industriepolitik, Digitales, KI..."
460,schirdewan,"Ko-Parteivorsitzender @dielinke; MdEP, Ko-Fraktionsvorsitzender der Linken im Europäischen Parlament @LEFT_EU; 
MEP, co-chair THE LEFT"
461,MarionWalsmann,Waschechte Erfurter Puffbohne mit Herz für Heimat und Familie. Einzige Thüringer Abgeordnete im Europäischen Parlament. JURI+IMCO #Thüringen in #Europa
462,TerryReintke,Feminism. Social justice. Fundamental Rights. Co-President of @GreensEFA in the European Parliament (she/her). 🌈🇪🇺✨
463,SLagodinsky,MEP @GreensEFA 🇪🇺 Fighting for European Values&Fundamental/digital rights 🌐 Working on🇹🇷🇺🇸🇷🇺 🌻#Berlin #Brandenburg #HH 🐘 @SLagodinsky@gruene.social
464,JuttaPaulusRLP,"EU Parliament @GreensEFA #ScienceGoesPolitics, fighting for environment, climate biodiversity, energy transition JuttaPaulus@mastodon.online
Born at 322 ppm CO2"
465,OezlemADemirel,"Abgeordnete im #EU Parlament DIE #LINKE (The Left)
#Frieden✌#Soziales💯 #Gerechtigkeit ❤
Leben einzeln und frei wie ein Baum & geschwisterlich wie ein Wald..."
466,jcoetjen,Liberaler. #MEP für @RenewEurope und @fdp aus #Niedersachsen.
467,daniel_freund,Green Member of the European Parliament 🌻 fighting against corruption and for a European Federal Republic 🇪🇺
468,AxelVossMdEP,"🇪🇺🇩🇪MEP for the Rhineland @cdu. @eppgroup coordinator in @EP_Legal. Works on #AI, #Metaverse and #duediligence. Account managed by team."
469,nicosemsrott,Member of the European Parliament (MEP)
470,ErikMarquardt,Mitglied im Europaparlament | Parteirat @die_gruenen | Anfragen: erik.marquardt@europarl.europa.eu
471,nnienass,"Member of the European Parliament @GreensEFA. 
All things #space & Rural Areas 
🇪🇺🌻🚀
Chair of @EuropaUnion_EP"
472,michaelgahler,"Europa-Abgeordneter
(Mitglied der EVP-Fraktion im Europäischen Parlament)"
473,MartinHaeusling,"Biobauer 👨‍🌾, Mitglied des EU-Parlaments/ Member of the European Parliament🇪🇺, Sprecher für Agrarpolitik der Grünen/EFA, Mitglied im EU-Umweltausschuss🌻🐝🌍"
474,ChSchneider,𝕡𝕗𝕒𝕖𝕝𝕫𝕖𝕣𝕚𝕟 & 𝕖𝕦𝕣𝕠𝕡𝕒𝕖𝕖𝕣𝕚𝕟 | Mitglied des Europäischen Parlaments | @CDU_CSU_EP
475,DrStefanBerger,"MEP (CDU) | Ausschuss Wirtschaft & Währung | NRW | ➡️ Berichterstatter für Markets in Crypto-Assets (MiCA) | Digitalisierung, Finanzen, Wirtschaft"
476,peterliese,Dr. Peter Liese - Europaabgeordneter für Südwestfalen; Impressum: https://t.co/gOXDmFJjsx
477,EuropaJens,Nerd aus Essen. Vorsitzender der Europa-SPD @SPDEuropa; twittert über sozialdemokratische Politik und was sonst Europa und die Welt besser machen könnte!
478,Andreas_Schwab,Member #MEP @europeanparliament @eppgroup @cdu_csu_ep coordinator for @ep_singlemarket #digital #competition #EUswitzerland
479,ViolavonCramon,"Mutter v 4 Kindern, Außenpolitik #Kosovo #Wissenschaft #niedersachsen #thüringen #osteuropa #erweiterung #sport #antikorruption 💬Threema: 4VWH9BH6"
480,moritzkoerner,Abgeordneter @Europarl_DE • Generalsekretär der @fdp_nrw • Präsidium @fdp • Haushalt 💶 Rechtsstaat 🗽 Bürgerrechte 👮‍♂️
481,MartinSonneborn,"M.A.-Arbeit über die absolute Wirkungslosigkeit moderner Satire. Hält es für witzig, trotz seinerzeit schlüssiger Argumentation heute im EU-Parlament zu sitzen"
482,ManfredWeber,"Bayer & Europäer, EVP-Partei- und Fraktionsvorsitzender, @CSU-Vize - Bavarian & European, President @EPP & Chairman @EPPGroup"
483,micha_bloss,"🇪🇺 Member of European Parliament | @GreensEFA | 💯 Working on European Climate Action, Electricity Market Design & #FitFor55 | from Stuttgart"
484,svensimon,Member of the European Parliament
485,woelken,"Sozialdemokrat, Nordlicht, Technikfan, Europäer & Mitglied im Europäischen Parlament, @TheProgressives coordinator for Environment, Public Health & Food Safety"
486,Doleschal,🇪🇺 Mitglied des Europäischen Parlaments | MEP | Landesvorsitzender der @jubayern | @CSU | @eppgroup | #Dole4Europe #Oberpfalz
487,caspary,🇪🇺 Mitglied des Europäischen Parlaments ▫️ Vorsitzender der @CDU_CSU_EP im @EuroParl_DE ▫️ Stellvertretender Landesvorsitzender der @CDU_BW 🇩🇪 #wegenmorgen
488,berndlange,@SPDEuropa & @TheProgressives MEP @Europarl_DE NDS | Handelsausschuss (INTA) -Vorsitzender |Vorsitz CCC|Co-Vorsitz UK Contact Group EP Tweets:Bernd Lange & Team
489,RasmusAndresen,"fighting for a fair and climate neutral economy, a Green New Deal, 🏳️‍🌈, speaker of @Gruene_Europa, budget coordinator @greensefa, MEP, he/him"
490,SkaKeller,Member of @GreensEFA
491,b_riexinger,Mitglied des Bundestages für den Wahlkreis Stuttgart. 2012 bis 2021 Parteivorsitzender DIE LINKE. Gewerkschafter. Für einen LINKEN Green New Deal.
492,GoeringEckardt,Vizepräsidentin des Deutschen Bundestages | MdB @GrueneBundestag | aus #Thüringen | #Ökologie 🌻 #Gerechtigkeit 🌍 #Zusammenhalt 💚
493,PetraPauMaHe,"MdB #LINKE #Vizepräsidentin #Bundestag #MaHe, bis 2017 #NSU-PUA, für #Bürgerrechte & #Demokratie, #Religionspolitik, gegen #Rassismus #Antisemitismus #Nazis"
494,JTrittin,MdB Bündnis 90/Die Grünen & Wahlkreis Göttingen & Werder-Fan. Team twittert mit //TT
495,peteraltmaier,"Bürger, Deutscher & Europäer. Bundesminister a.D. Ehemaliges Mitglied des Deutschen Bundestages, CDU."
496,jensspahn,Mitglied des Deutschen Bundestags | Stv. Fraktionsvorsitzender @cducsubt | Präsidiumsmitglied @CDU | Westmünsterländer | Team Spahn (TS)
497,ThomasOppermann,"Hier twittert Thomas Oppermann,MdB, Vizepräsident des Deutschen Bundestages , SPD"
498,ernst_klaus,Vorsitzender des Ausschusses für Klimaschutz und Energie im @Bundestag. Mitglied der @Linksfraktion. Tweets von Klaus und Team.
499,andreasscheuer,Bundesminister a.D. · Mitglied des Deutschen Bundestags · Themen: 🚀Innovation 💻Digitalisierung 🛸Mobilität 🛰Tech 🌏Internationale Vernetzung 🇩🇪Politik
500,SWagenknecht,Mitglied des Deutschen Bundestages
501,juergenhardt,Außenpolitischer Sprecher der CDU/CSU-Fraktion im Deutschen Bundestag Hier twittern Jürgen Hardt (JH) und das Team Hardt (TH) RT≠Endorsement
502,petertauber,"Historiker, Autor, Reserveoffizier, Parlamentarischer Staatssekretär a.D., Waidmann, Christdemokrat, das Bild ist von @toko. 🌲🌲🌲🌲"
503,CarenLay,"Aktivistin • Politikerin (MdB, DIE #LINKE) • Feministin • Wk #Bautzen • #Mietenwahnsinnstoppen • #Clubsterbenstoppen • Youtube: https://t.co/CpmbrhmRAe"
504,bueti,MEP
505,FlorianPronold,"Florian Pronold, Rechtsanwalt, Parl. Staatssekretär a.D., ehem. Bundestagsabgeordneter (2002-2021)"
506,MartinSchulz,Glühender Sozialdemokrat und Europäer.
507,davidmcallister,Vorsitzender des Auswärtigen Ausschusses / Chair of the Foreign Affairs Committee | Mitglied des Europäischen Parlaments 🇪🇺
508,nouripour,"Chairman German Green Party @Die_Gruenen, für Frankfurt im Bundestag, für Frieden und @Eintracht international, آزادى"
509,DorisSenger_MdL,"Mitglied des Landtags.
Ich bin seit 2013 in der AfD und seit 10. Juli 2019 Mitglied im Landtag von Baden-Württemberg."
510,nicolasfink_mdl,"Mitglied des Landtags für den Wahlkreis Esslingen | Familienmensch, Roter (politisch), Dunkelroter (Fußball), Bassist, Turnschuhfreak 👨‍👩‍👧‍👧🔴⚽️🎸👟"
511,SabineKurtzMdL,"🌾 Staatssekretärin im Ministerium für Ernährung, Ländlichen Raum und Verbraucherschutz 🏡 Abgeordnete Wahlkreis Leonberg 📍 Mitglied @CDU_FraktionBW"
512,volkerschebesta,"Abgeordneter @Landtag_BW, @CDU_FraktionBW, Staatssekretär @KM_BW, Diözesanrat @bistumfreiburg, stv. LV @bibverband, @scfreiburg, #mountainbike, #inliner"
513,AntonBaronAfD,Offizieller Account von Anton Baron | Fraktionsvorsitzender | Mitglied der #AfD-Fraktion im Landtag von Baden-Württemberg (#LtBW)
514,DrChristinaBaum,"von 2016-2021 für die AfD im Landtag BW. Wahlkreis 23, Main-Tauber. Jetzt Bundestagsabgeordnete der AfD. Landesgruppe Baden-Württemberg"
515,CarolaWolle,"Für die #AfD im Landtag Baden-Württemberg, WK 20 - Neckarsulm, Mitglied & stellv. Vorsitzende im Ausschuß Wirtschaft, Arbeit & Wohnungsbau, Ausschuss Soziales"
516,RollandGabi,"Landtagsabgeordnete #Freiburg II /
Sprecherin für Umwelt und Hochschule bei @spdlandtagbw /
Stv. #SPD-Landesvorsitzende #spdbw"
517,DanielKarrais,"🗣Vorsitzender Ausschuss für Umwelt, Klima & Energiewirtschaft @landtag_bw |Digital- & Klimapolitischer Sprecher 💻🌍 der @fdpdvpfraktion |Wahlkreis Rottweil📍"
518,HPStauch,Ehemaliger AfD-Abgeordneter für den Wahlkreis Hechingen-Münsingen (WK 61) im Landtag von Baden-Württemberg (* vom MdL gepostet)
519,HagelManuel,"Fraktionsvorsitzender der @CDU_FraktionBW, Abgeordneter für den Alb-Donau-Kreis, Kommunalpolitiker und VfB-Fan"
520,reich_gutjahr,"FDP Kreisvorsitzende Stuttgart, bis 2021 MdL @fdpdvpfraktion. Sprecherin für #Wirtschaft #Wohnungsbau #Umwelt . Twitter selbst (RG)"
521,FabianGramling,🇩🇪 Bundestagsabgeordneter @cdu 🗂🦸 #Versorgungssicherheit 🔋 #Kreislauf ♻️ #Innovation 🚀 & Games 🎮 @vfb ⚪️🔴 Impressum 👇
522,udostein_mdl,Jagdpolitischer Sprecher der @AfDFraktionBW | Stv. Landessprecher
523,stefanfulstblei,"Landtagsabgeordneter für den Mannheimer Norden, Vorsitzender der SPD Mannheim und stellv. Vorsitzender der @spdlandtagbw"
524,Martin_Hahn_MdL,Landtagsabgeordneter (Bündnis 90/ Die Grünen) für den Bodenseekreis
525,USckerl,"Hundeliebhaber, Kurpfälzer, Parlamentarischer GF Grüne im Landtag BW"
526,nicolerazavi,Mitglied des Landtags von BW. Ministerin für Landesentwicklung und Wohnen. Ehrenvorsitzende CDU Kreisverband Göppingen. Präsidentin Turngau Staufen.
527,NeseErikli,"MdL im Wahlkreis #Konstanz. stv. Fraktionsvorsitzende 🏛 Vorsitzende im Ausschuss für Wissenschaft, Forschung & Kunst. https://t.co/FcAircF8bU"
528,allworldisgreen,Oberbürgermeister der Großen Kreisstadt Göppingen
529,SabineWoelfle,"Mitglied des Landtags von Baden-Württemberg (2011-2021). Landesvorsitzende des Arbeiter-Samariter-Bund BW & Präsidentin des OBV, Systemische Moderatorin"
530,salomon_alex,"Abgeordneter. Vorsitz Enquetekommission 'Krisenfeste Gesellschaft'.
Wissenschaft, Innovation und IT @FraktionGruenBW"
531,mannelucha,"Landtagsabgeordneter für den Wahlkreis Ravensburg 
Minister für Soziales und Integration
Hier twittert das Social-Media-Team von Manne Lucha MdL"
532,jochenhaussmann,"Landtagsabgeordneter der FDP/DVP-Fraktion im Landtag von Baden-Württemberg für den Wahlkreis #Schorndorf

Meine Themen: #Gesundheit #Pflege #Soziales"
533,trenker75,"News von und über Raimund Haser MdL, Umwelt- und Energiepolitischer Sprecher der @CDU_FraktionBW. Vizepräsident im BdV, #politik #umwelt #energie #verantwortung"
534,Muhterem_Aras,🏛️ Präsidentin @Landtag_BW 🌳 Grüne Abgeordnete für Stuttgart I 📇 Diplom-Ökonomin
535,saschabinder,"Generalsekretär SPD BW      Mitglied des Landtags von Baden-Württemberg, Wahlkreis Geislingen Parlamentarischer GF SPD Fraktion"
536,timmkern,Abgeordneter und stv. Fraktionsvorsitzender der FDP/DVP-Fraktion im Landtag BW | Wahlkreis Freudenstadt | Es posten Timm Kern selbst (TK) und sein Team.
537,siegfriedlorek,"Staatssekretär im Ministerium der Justiz und für Migration BW, CDU-Landtagsabgeordneter, Polizeioberrat a. D."
538,brigitte_loesch,Mitglied des Landtags von Baden-Württemberg
539,JoshaFrey,"Landtagsabgeordneter des Wahlkreises Lörrach, Europa- und Entwicklungspolitischer Sprecher der Grünen Landtagsfraktion Baden-Württemberg"
540,ErikSchweickert,"FDP-Landtagsabgeordneter WK Enz, Kreis- und Gemeinderat, Prof. für Internationale Weinwirtschaft; Hier twittern Erik Schweickert (ES) und Team Schweickert (TS)"
541,alindlohr,Landtagsabgeordnete Baden-Württemberg Wahlkreis Esslingen / Staatssekretärin Ministerium für Landesentwicklung und Wohnen / hier nur nach Feierabend
542,WinneHermann,seit 2011 Minister für Verkehr Baden-Württemberg. Hier twittert die Pressestelle des VM. Impressum: https://t.co/hTm7RWhry8 Datenschutz: https://t.co/VHAoMJ7bHY
543,ruelke,"#Fraktionsvorsitzender der FDP/DVP im Landtag #BW
MdL Wahlkreis #Pforzheim"
544,reinholdgall,SPD-Landtagsabgeordneter für den Wahlkreis Neckarsulm. Parlamentarischer Geschäftsführer @spdlandtagbw. Innenminister des Landes Baden-Württemberg a. D.
545,IngoHahnAfD,"Mitglied des bayerischen Landtags, Mitglied im Umweltausschuss & Wissenschaftsausschuss"
546,GabrieleTriebel,Grüne Abgeordnete | Sprecherin für Bildung | Religion | Erinnerungskultur | https://t.co/oF6gHyVD8e | leidenschaftliche Sportlerin | Draußenmensch
547,AndyWinhart,MdL @AFD_Bayern_LT 🇩🇪 | Gute Politik macht man nicht mit Links! |  Spitzenkandidat #AfD Oberbayern | Direktkandidat RO-Ost #ltwby23 | @afd_bayern
548,gerlach_judith,"MdL, Bayerische Staatsministerin für Digitales"
549,dr_afd,"Listenplatz 2 zur Landtagswahl 2018 für Mittelfranken, 
Stimmkreis 511 Nürnberger Land 
  
Listenplatz 6 zur Bezirkstagswahl 2018 für Mittelfranken"
550,KoehlerClaudia7,Landtagsabgeordnete Bündnis90/Die Grünen Bayern Haushaltspolitische Sprecherin Kreisrätin Landkreis München Gemeinderätin Unterhaching LK Rosenheim u. Eichstätt
551,FloSiekmann,Jüngster MdL Bayern & Fraktionsvize 🌻 | stv. Vorsitzender Untersuchungsausschuss Maske | member @Greens_CoR | kämpft für 🇪🇺 🏳️‍🌈 | Chemiker
552,Doris_Rauscher,"Vorsitzende des Sozialausschusses im Bayerischen Landtag, Sozial- und familienpolitische Sprecherin der SPD Fraktion, Vorsitzende SPD & VdK Landkreis Ebersberg"
553,HiersemannAlexa,"Mitglied des Bayerischen Landtags, im Ausschuss für Eingaben und Beschwerden - Sozialdemokratin mit unverbesserlichem Glauben an das Gute😀"
554,GerdMannesAfD,"MdL @Landtag_Bayern, Stv. Vorsitzender @AfD_Bayern_LT, Landesvorstand @AfD_Bayern | Freiheit, Heimat, Zukunft | Auch bei @telegram: https://t.co/lryHRzjTUc 💙"
555,TobiasReissMdL,"MdL, Parlamentarischer Geschäftsführer der CSU Fraktion im Landtag #Oberpfälzer #CSU"
556,ursula_sowa,"Mitglied des Bayerischen Landtags @Landtag_Bayern 
Sprecherin für Baupolitik der Fraktion Bündnis 90/Die Grünen @GrueneLandtagBY,
Stadträtin in #Bamberg"
557,BarbaraRegitz,Direkt gewählte Abgeordnete #nürnberg #nord #LTWBY2018 CSU
558,fw_hold,"konsequent in Sachen Rechtsstaatlichkeit, Menschlichkeit und Sorgen von Mitbürgern. Eher nicht bei Hund, Hausaufgaben und Schokolade."
559,andkrahl,Boarisch is mei Lebensgfui
560,HorstArnold_SPD,"Landtagsabgeordneter der Bayern SPD, Ausschuss für Verfassung, Recht, Parlamentsfragen, Sozialdemokrat, Fürther, Mensch."
561,brannekamper,Mitglied des Bayerischen Landtags
562,CHierneis,Umweltretter bei BUND Naturschutz und Bündnis 90/Die Grünen
563,BeateMerk1,"Mitglied des Bayerischen Landtags, Staatsministerin a.D. , Rechtsanwältin"
564,_MartinHagen,"🗽 FDP, Landesvorsitzender und Mitglied des Bundesvorstands 
🏛 Landtag, Fraktionsvorsitzender"
565,Johannes_Becher,"Mitglied des Bayerischen Landtags, B90/Grüne. Themen: Kommunales, frühkindliche Bildung, Flugverkehr. Vize der Kinderkommission. Stadtrat, Kreisrat."
566,StrohmayrS,"#Sozialdemokratin🌹
Parlamentarische Geschäftsführerin der @BayernSPD_Lndtg
Kämpfe für #Gleichberechtigung 🏳️‍🌈 #Bildung 🎓und #Gerechtigkeit ⚖️"
567,SteinbergerRosi,"Mitglied des Bayerischen Landtags, B90/Die Grünen, Vorsitzende im Ausschuss für Umwelt und Verbraucherschutz. 
Gemeinderätin"
568,RuthMuellerSPD,"Stellvertretende Fraktionsvorsitzende der @BayernSPD_Lndtg | Agrar- und frauenpolitische Sprecherin
Generalsekretärin der @BayernSPD"
569,JuergenMistol,Mitglied des Bayerischen Landtags. Fraktion Bündnis 90/Die Grünen. Oberpfälzer. Regensburger. Eisenbahnmensch. 🏳️‍🌈 🇨🇿 🇧🇷
570,Thomas_Gehring_,"MdL, Vizepräsident,
Sprecher für lebenslanges Lernen,  B90/Die Grünen im Bayerischen Landtag"
571,KEbnerSteiner,Bayerische AfD-Spitzenkandidatin | Listenplatz 1 Niederbayern | Mitglied der Kinderkommission 💙Frauenpolitische Sprecherin der #AfD im Bayerischen Landtag 💪
572,HubertAiwanger,Politiker aus Leidenschaft. FREIE WÄHLER.
573,WBausback,Bayer. Justizmin. aD ( 2013 —2018) ~ CSU Landtagsabgeordneter @Landtag_Bayern ~ Vorsitzender UA Maske ~ Kreisvorsitzender CSU A’burg Stadt ~csu_lt
574,NataschaKohnen,#Abgeordnete #BayerischerLandtag #Bücherwurm #liebtfrischeluft 🍃
575,m_rinderspacher,"Vizepräsident Bayerischer Landtag, europapolitischer Sprecher Landtags-SPD, Vorsitzender WirtschaftsForum der Sozialdemokratie in München e.V."
576,IlseAigner,"MdL, Präsidentin des Bayerischen Landtags und CSU-Bezirksvorsitzende Oberbayern"
577,RichardGraupner,"AfD-Fraktion Landtag Bayern, innenpolitischer Sprecher"
578,TSchorerDremel,Stellvertretende Vorsitzende der CSU Landtagsfraktion Vorsitzende der Kinderkommission des Bayerischen Landtags
579,MichaelPiazolo,Staatsminister für Unterricht und Kultus / Stellv. Landesvorsitzender der Freien Wähler Bayern / Vorsitzender der Freien Wähler München
580,FlorianStreibl,"Rechtsanwalt 
Mitglied des Landtags
Parlamentarischer Geschäftsführer Fraktion FREIE WÄHLER"
581,ChristianFlisek,"MdL Bayern (18.WP), ehem. MdB; Rechtsanwalt; IP, IT, Data, Copyright; Wissenschafts-, Digital-, Rechts- und Sicherheitspolitik"
582,KS_MdL,"Kerstin Schreyer, Staatsministerin a.D., Stimmkreisabgeordnete für München Land-Süd"
583,KerstinCelina,"Mitglied des bayerischen Landtags für Bündnis 90/ Die Grünen,        
Kreis- und Gemeinderätin,
Diplomvolkswirtin,
Ersthelferin bei der Freiwilligen Feuerwehr"
584,der_buechler,"Abgeordneter und Sprecher für Mobilität @GrueneLandtagBY, Kreisrat München, BÜNDNIS 90/DIE GRÜNEN. Es twittern mein /team und ich."
585,GiselaSengl,"MdL, Stv. Fraktionsvorsitzende, Sprecherin für Agrarpolitik der bayerischen Landtagsgrünen - und Biobäuerin, https://t.co/V4opRG8Cmv"
586,EvaLettenbauer,"Vorsitzende @Gruene_Bayern I Abgeordnete @Landtag_Bayern I Wirtschaftsingenieurin I Gemeinsam für eine gute Zukunft für alle.I
Landmensch l Feministin l sie/ihr"
587,GeraldPittner,"Gerald Pittner 
Mitglied des Landtags
bis 2018
Richter am Amtsgericht
Bad Neustadt an der Saale"
588,MelanieHuml,Bayerische Staatsministerin für Europaangelegenheiten und Internationales
589,GulserenDemirel,"Landtagsabgeordnete Bündnis 90/Die Grünen im Bayerischen Landtag, Sprecherin für Asyl, Flucht, Integration und Vertiebene, Diplom-Sozialpädagogin"
590,BozogluCemal,Landtagsabgeordneter in Bayern für Bündnis 90 / Die Grünen
591,BertholdRueth,"Mitglied des Bay. Landtags, Vorsitzender des Landessportbeirates, sportpolitischer Sprecher und Beisitzer im Vorstand der CSU-Landtagsfraktion"
592,arif_tasdelen,Mitglied des Bayerischen Landtags 💻 stellv. Fraktionsvorsitzender der @BayernSPD_Lndtg
593,MarkusBlume,"Bayerischer Staatsminister für Wissenschaft und Kunst, Mitglied des Bayerischen Landtags, dahoam im Münchner Osten"
594,JulikaSandt,"Stellvertretende Vorsitzende der FDP-Fraktion im Bayerischen Landtag, Sprecherin für Arbeit und Soziales, Familie, Frauen, Jugend und Menschen mit Behinderung"
595,Markus_Soeder,"Offizieller Twitter-Kanal von Markus Söder,
Bayerischer Ministerpräsident und @csu-Vorsitzender"
596,Andreas_Schalk,Bezirksvorsitzender @JUMittelfranken.
597,WTaubeneder,"Mitglied des Bayerischen Landtags, CSU, Stimmkreis Passau-West,
Mitglied der Ausschüsse Bildung, Jugend und Sport sowie Hochschule, Forschung und Kultur"
598,Christian20er,🌻 Landtagsabgeordneter @GrueneLandtagBY 💪🏻 Sprecher für Landesentwicklung & für Tourismus 🌍 Geograph 🏠 Erlangen | Erlangen-Höchstadt | Mittelfranken
599,KarlFreller,"Vizepräsident des Bayerischen Landtages & Direktor der Stiftung Bayer. Gedenkstätten, Gewinner Politik-Award 2018, hier privat,RT&Follow nicht gleich Zustimmung"
600,MaxDeisenhofer,"MdL Bayern, Sprecher für Sport, Medien, Digitale & Berufliche Bildung, #Grüne, Kreisrat, Löwenfan, Handballer, Optimist."
601,MMFischbach,"MdL, Parlamentarischer Geschäftsführer und bildungspolitischer Sprecher der FDP im Bayerischen Landtag | ehemaliger Landesvorsitzender der @JuLisBayern"
602,PeterTomaschko,Mitglied des Bayerischen Landtags - CSU-Kreisvorsitzender Aichach-Friedberg
603,Hintersberger,"Ihr Landtagsabgeordneter für Augsburg/West, Gersthofen und Neusäß"
604,LudwigHartmann,"Fraktionsvorsitzender B90/Die Grünen im Bayerischen Landtag | Spitzenkandidat LTW23 | TeamBayern | Leben, Bayern, Grün | https://t.co/H7TQge4DUP"
605,KohlerJochen,"Bayerischer Landtagsabgeordneter, CSU-Kreisvorsitzender, auf Twitter privat unterwegs..."
606,FlorianvonBrunn,"SPD-Vorsitz Landtag & Bayern.

FÜR
#Gerechtigkeit #bezahlbareWohnungen #guteSchule #guteKrankenhäuser #Klimaschutz #EE

Gegen Nazis!
I ❤ wehrhafte Demokratie 👊"
607,StoettnerK,Direkt gewählter bayerischer Landtagsabgeordneter im schönsten Stimmkreis Bayerns. R o s e n h e i m https://t.co/w62tl4KOB6
608,DuenkelNorbert,Mitglied des Landtags. Freistaat Bayern. Lebenshilfe Nürnberger Land. Mitglied der Geschäftsleitung.
609,AnFRanke,"Bayerische Grüne Abgeordnete, Dipl.Designerin, selbstständig, Wiariwui Verlag, Illustration, freie Grafik und Malerei, Gemeinderätin, Kreisrätin, zwei Töchter"
610,KathaSchulze,"Grüne Abgeordnete | Feministin | Antifaschistin | Autorin | Vorsitzende @GrueneLandtagBY | Icecreamlover | Innenpolitik, Bayern, das Leben."
611,MatthiasND,"MdL, Politikwissenschaftler, Kreisrat, Stadtrat, Aktiv in JU und CSU, Stadtführer in Neuburg"
612,BMiskowitsch,Stimmkreisabgeordneter im Bayerischen Landtag
613,Weidenbusch_E,"Rechtsanwalt, der die Interessen der Menschen aus dem Landkreis München im Bayerischen Landtag vertritt (CSU)"
614,mstuempfig,"Landtagsabgeordneter von BÜNDNIS 90/DIE GRÜNEN 🌻 #Bayern aus #Feuchtwangen, Sprecher für ⚡️#Energie & 🌍 #Klimaschutz, sowie Team twitter mit (T)"
615,FRANKENSPRECHER,Für die Zukunft unserer Kinder! #Frankensprecher #Kultur #Soziales #Gesundheit #Pflege #FREIEWÄHLER #Ansbach #Mittelfranken #Franken #MdL #BayernsstarkeMitte
616,Ch_Skutella,"Bayerischer Landtagsabgeordneter, Musiker und Kulturfreund. Bodenständig, natürlich, liberal."
617,heubisch,"Bayerischer Staatsminister für Wissenschaft, Forschung und Kunst / Mitglied des bayerischen Landtages (FDP)"
618,sannekurz,"Grüne Abgeordnete. Medien, Kultur, Frauen, Film, BR Rundfunkrat. Lebt in München, arbeitet für Bayern, kommt aus der schönen Pfalz am Rhein."
619,Osgyan,Bündnis 90/Die Grünen Nürnberg | Stv. Fraktionsvorsitzende & Sprecherin für Wissenschaft & Hochschulpolitik @GrueneLandtagBy
620,GuttenbergerMdL,"Petra Guttenberger MdL, Ihre Landtagsabgeordnete der CSU, Stellv. Vors. Ausschuss Verfassung Recht Mitglied d. Ältestenrat, stellv. Vors. Frauenunion,"
621,S_Koerber_MdL,* Architekt * FDP -Landtagsabgeordneter in Bayern * Freier Demokrat * Mitglied im Präsidium der FDP Bayern * Freigeist * Autofan *
622,huber_ebe,"Vors. Arbeit u. Soziales, Familie u. Jugend CSU-Landtagsfraktion, CSU-Kreisvorsitzender, Landesvorsitzender Wasserwacht Bayern, Vors. CSU-Familienkommission"
623,GansGruen,"Mitglied des Bundestages @gruenebundestag
GRÜN  | POLITIK   | 
trans* 🏳️‍⚧️🏳️‍⚧️🏳️‍⚧️ queer🌈🌈🌈 sie/ihr"
624,fwhfreising,Leiter der bay. Staatskanzlei und Staatsminister für Bundesangelegenheiten und Medien - Mitglied des Bayerischen Landtags für den Stimmkreis #Freising - #Bayern
625,presse_mdlkarl,"Mitglied des Bayerischen Landtags, Wahlkreis Oberpfalz"
626,PatrickFriedl,"MdL - Mitglied des Bayerischen Landtags - Sprecher für Naturschutz und Klimaanpassung - Mitglied im Umweltausschuss
Stadtrat in Würzburg"
627,DuinBayern,"Mitglied des Bayer. Landtags seit 2018
Sprecher für Wirtschaft, Energie und Tourismus der FDP-Fraktion 
FDP-Landesvorsitzender 2013-2017
#DuinBayern #Klartext"
628,Roter_Ritter,"Mitglied Bay Landtag, Schatzmeister BayernSPD, Vorsitzender SPD Oberbayern, Vorstand Vollmar-Akademie, Antifaschist, @roter_ritter@muenchen.social"
629,f_leschewitz,"MdA (2020-2021, 2022-) @linksfraktionB * Ausschüsse GPG, Petition, EBM (früher: BE und UA BER II) * @DieLinkeSpandau * PTA * Biologin BSc."
