"example"	"label"
"Bundestagsabgeordnete für Bremen von @die_gruenen, amtierende Vorsitzende des Gesundheitsausschuss #Feminismus #Cannabis #decolonize #Bremen"	"1 ökonomisch neutral + libertär"
"im #Bundestag für @GrueneBundestag / #Niederbayern/ Sprecher für #Kulturpolitik und #Medienpolitik/ Auswärtige Kultur- & Bildungspolitik/ IG: erhard.grundl"	"1 ökonomisch neutral + libertär"
"Oberpfälzer • tourismuspolit. Sprecher @GrueneBundestag | #Verbraucherschutz | nachhaltiger #Tourismus | #Altersvorsorge | #Kommunalfinanzen _x000D_ •Team twittert mit"	"1 ökonomisch neutral + libertär"
"MdB für #Tübingen | Parlamentarischer Staatssekretär @BMUV | Mitglied @GrueneBundestag_x000D_ (hier privat)"	"1 ökonomisch neutral + libertär"
"MdB aus #Gelsenkirchen | Erste Parlamentarische Geschäftsführerin @GrueneBundestag | Mitglied des Parlamentarischen Kontrollgremiums PKGr #Innenpolitik2Life"	"1 ökonomisch neutral + libertär"
"Ausschussvorsitzender Bildung & Forschung | Essener Arbeiterkind im Bundestag @gruenebundestag 👉 https://t.co/nwwdK6LgfR"	"1 ökonomisch neutral + libertär"
"Hier tweetet, textet und publiziert das Team der SPD Bundestagsabgeordneten Dagmar Schmidt @dieschmidt (Lahn-Dill-Kreis, Wettenberg, Biebertal)."	"2 ökonomisch neutral + libertär/autoritär"
"SPD Bundestagskandidat für Bamberg und Forchheim Andreas Schwarz."	"2 ökonomisch neutral + libertär/autoritär"
"Sozialdemokratin | Lueneburg | Mitglied des Deutschen Bundestages"	"2 ökonomisch neutral + libertär/autoritär"
"AfD-Fraktion im Deutschen Bundestag https://t.co/Ykqu1braRO"	"2 ökonomisch neutral + libertär/autoritär"
"Hier twittert der Newsdesk der SPD-Bundestagsfraktion. Impressum, aktuelle Podcast-Folgen und spannende Links: https://t.co/e2l15mSRwd"	"2 ökonomisch neutral + libertär/autoritär"
"Hier twittert die Arbeitsgruppe Digitales der SPD-Bundestagsfraktion. Impressum: https://t.co/si2fLgkKg8"	"2 ökonomisch neutral + libertär/autoritär"
"MdB 1992-2021 • SPD • Transatlantikerin • Vors. Sport-Ausschuss 2009-2021 • Sauerland • Leichtathletik • Anti-Doping • True Athletes •"	"2 ökonomisch neutral + libertär/autoritär"
"Mitglied des Deutschen Bundestages von 2013-2021 |Staatsrätin a.D. | Bremen"	"2 ökonomisch neutral + libertär/autoritär"
"MdB | Main-Spessart/Miltenberg | Vorsitzender des Ausschusses Arbeit und Soziales | SPD-Bezirksvorsitzender Unterfranken"	"2 ökonomisch neutral + libertär/autoritär"
"politisch, pragmatisch, SPD"	"2 ökonomisch neutral + libertär/autoritär"
"Mitglied im Verteidigungsausschuss 🇺🇦 _x000D_ Mitglied im Ausschuss für Digitales _x000D_ Sprecher für Digitales _x000D_ @cducsubt"	"3 ökonomisch neutral + autoritär"
"Alle Pressemitteilungen der @cducsubt auf einen Blick!_x000D_ Hier wird automatisiert getwittert • Impressum: https://t.co/KGbVUwXufa"	"3 ökonomisch neutral + autoritär"
"Die Unionsfraktion im Deutschen Bundestag • Fraktionschef: @_FriedrichMerz • Sprecher: @warrings • Impressum: https://t.co/mrapTIrRLC"	"3 ökonomisch neutral + autoritär"
"MdB •Erster Parlamentarischer Geschäftsführer @cducsubt •Stv. Landesvorsitzender @cdu_bw •Oberbürgermeister a.D. •Jurist •Familienvater"	"3 ökonomisch neutral + autoritär"
"@CDU MdB a.D. für Frankfurt(Oder)- Oder-Spree. Themen: #Familien, #Menschenrechte & #Ehrenamt"	"3 ökonomisch neutral + autoritär"
"Agrarpolitischer Sprecher der CDU/CSU-Bundestagsfraktion"	"3 ökonomisch neutral + autoritär"
"CDU Bundestagsabgeordnete für Erfurt, Weimar und das Grammetal - Finanzpolitische Sprecherin der CDU/CSU- Bundestagsfraktion"	"3 ökonomisch neutral + autoritär"
"direkt gewählt für den Kreis Düren🍀, NRW | Parl. Staatssekretär a.D. | Religionspolitischer Sprecher @cducsubt | Entwicklungspolitik🌾| Auswärtiges 🤝🌎"	"3 ökonomisch neutral + autoritär"
"Bundestagsabgeordnete der @CSU Ausschussvorsitzende, Wahlkreis Rosenheim / Bayern, Vorsitzende @brkrosenheim"	"3 ökonomisch neutral + autoritär"
"🏛 im Bundestag für den Landkreis Böblingen | 🖤 CDUler | 🦾 Digitales, Arbeit & Soziales | 🇪🇺 überzeugter Europäer"	"3 ökonomisch neutral + autoritär"
"MdB | FDP-Fraktion | Stv. Vorsitzender des Ausschusses für wirtschaftliche Zusammenarbeit und Entwicklung | Südbaden | Förster | Bürgermeister a.D."	"4 ökonomisch rechts + libertär/autoritär"
"Mitglied des Bundestages für Niederbayern | FDP | Sprecherin für Frauenpolitik und Diversity | Mittelstand & Innovation | Ingenieurin 🚀"	"4 ökonomisch rechts + libertär/autoritär"
"Mitglied des Bundestages | Familienpolitischer Sprecher @fdpbt | Osnabrücker Land | https://t.co/fS2hk7f7An"	"4 ökonomisch rechts + libertär/autoritär"
"MdB | Vorsitzende des Ausschusses für Menschenrechte und humanitäre Hilfe | Mitglied @fdpbt-Fraktionsvorstand"	"4 ökonomisch rechts + libertär/autoritär"
"Bundestagsabgeordnete aus Herzogenaurach für die @FDP | Sportpolitische Sprecherin der @fdpbt"	"4 ökonomisch rechts + libertär/autoritär"
"MdB | Finanzpolitischer Sprecher und Obmann im #Finanzausschuss | #FDP | #Eifel | Begeisterung für #Politik, (Rock-)Musik, @fckoeln & ausgiebige Wanderungen"	"4 ökonomisch rechts + libertär/autoritär"
"Landesgruppenchef der @fdplgby Bundestagsabgeordneten #MdB | Obmann im Haushaltsausschuss für die @fdpbt | Stadtrat in Aschaffenburg"	"4 ökonomisch rechts + libertär/autoritär"
"#MdB | Pflegepolitische Sprecherin @fdpbt"	"4 ökonomisch rechts + libertär/autoritär"
"MdB aus Regensburg | Außenpolitischer Sprecher @fdpbt | Obmann im Auswärtigen Ausschuss | Stellv. Landesvorsitzender @fdpbay"	"4 ökonomisch rechts + libertär/autoritär"
"Für die @fdpsachsen Mitglied des Deutschen Bundestages | @fdpbt | Auswärtiger Ausschuss | Freiheit ist alles außer selbstverständlich | Stadtrat in Chemnitz"	"4 ökonomisch rechts + libertär/autoritär"
"ist ein deutscher Politiker (AfD) und seit 2017 Mitglied des Deutschen Bundestages._x000D_ _x000D_ is a German politician (AfD) and member of the German Bundestag since 2017."	"5 ökonomisch rechts + autoritär"
"Mitglied des deutschen Bundestages (AfD), Mitglied des Haushaltsausschusses und des Verkehrsausschusses"	"5 ökonomisch rechts + autoritär"
"MdB und sportpolitischer Sprecher der @AfD Bundestagsfraktion. Weiterer Schwerpunkt: Digitale Finanzwirtschaft / Kreisvorsitzender Hannover Stadt."	"5 ökonomisch rechts + autoritär"
"Dr. Christian Wirth, für das #Saarland und die #AfD im Bundestag"	"5 ökonomisch rechts + autoritär"
"Hier twittert Martin Sichert, Gesundheitspolitischer Sprecher der AfD im Deutschen Bundestag"	"5 ökonomisch rechts + autoritär"
"@AfDimBundestag-Abgeordneter | Sprecher für #Menschenrechte, Obmann im Ausschuß für Menschenrechte im #Bundestag; #Umweltausschuß | https://t.co/YlgpsEon92"	"5 ökonomisch rechts + autoritär"
"Rechtspolitischer Sprecher der @AfDimBundestag und Mitglied des Kreistages des Ortenaukreises"	"5 ökonomisch rechts + autoritär"
"MdB 20. Deutscher @Bundestag | Energiepolitscher Sprecher der AfD im Bundestag | Tweets: SK&Team"	"5 ökonomisch rechts + autoritär"
"Mitglied der @AfDimBundestag, Umweltpolitiker, Fußballschiedsrichter, verheiratet, konfessionslos"	"5 ökonomisch rechts + autoritär"
"MdB, Mathematiker, NRW 📈 Sprecher der Landesgruppe NRW der @AfDimBundestag 📑 Politik mit Zahlen, Daten, Fakten_x000D_ _x000D_ https://t.co/289KgIEfGE"	"5 ökonomisch rechts + autoritär"
"Ministerin für Wissenschaft, Forschung und Kultur denn #ZukunftwirdinBrandenburggemacht, hier privat"	"6 keine Kategorie"
"💼 Bundestagsabgeordneter 17-21 | ⚖️ Rechtspolitischer Sprecher 17-21 | Sächs. Justizminister a.D."	"6 keine Kategorie"
"Bundestagsabgeordneter aus dem Wahlkreis Nürtingen"	"6 keine Kategorie"
"Bundesvorsitzende @MIT_bund"	"6 keine Kategorie"
"Unparteiisches Mitglied beim GBA ehem.Gesundheitspolitische Sprecherin der CDU/CSU Fraktion"	"6 keine Kategorie"
"Mitglied des Deutschen Bundestages | Auswärtiger Ausschuss 🌏 | Optimismus 🚀 Europa 🇪🇺 und Espresso ☕️"	"6 keine Kategorie"
"Ostwestfale seit Geburt! Zur Zeit aktiv in MV, Läufer, Fußballer und Camper .Dies ist mein privater Account!"	"6 keine Kategorie"
"Nein._x000D_ Nicht F. Jacobi,_x000D_ ein anderer!"	"6 keine Kategorie"
"Dipl.-Ing.(BA) Mechatronik | industrial automation | kämpft für das freie Mandat | Bundesvorsitzender BFA e.V. | DIG Berlin/BBG |_x000D_ Glaubwürdigkeit & Integrität"	"6 keine Kategorie"
"🌈 Für die Menschen und Twitter-Bots ""ganz Ohr""."	"6 keine Kategorie"
