"X","twitter_handle","example","user_id","party","label"
51,"KatjaKeul","Grüne Bundestagsabgeordnete aus Niedersachsen – Anwältin für Frieden, Recht und Freiheit – Staatsministerin im Auswärtigen Amt | twittert hier ganz privat",959105206216162944,"Bündnis 90/Die Grünen","1 ökonomisch neutral + libertär"
52,"KirstenKappert","Bundestagsabgeordnete für Bremen von @die_gruenen, amtierende Vorsitzende des Gesundheitsausschuss #Feminismus #Cannabis #decolonize #Bremen",955357682013953024,"Bündnis 90/Die Grünen","1 ökonomisch neutral + libertär"
56,"Erhard_Grundl","im #Bundestag für @GrueneBundestag / #Niederbayern/ Sprecher für #Kulturpolitik und #Medienpolitik/ Auswärtige Kultur- & Bildungspolitik/ IG: erhard.grundl",951773879822880768,"Bündnis 90/Die Grünen","1 ökonomisch neutral + libertär"
65,"Schmidt_MdB","Oberpfälzer • tourismuspolit. Sprecher @GrueneBundestag | #Verbraucherschutz | nachhaltiger #Tourismus | #Altersvorsorge | #Kommunalfinanzen   •Team twittert mit",930725836282929024,"Bündnis 90/Die Grünen","1 ökonomisch neutral + libertär"
213,"ChrisKuehn_mdb","MdB für #Tübingen | Parlamentarischer Staatssekretär @BMUV | Mitglied @GrueneBundestag  (hier privat)",1123130812,"Bündnis 90/Die Grünen","1 ökonomisch neutral + libertär"
283,"IreneMihalic","MdB aus #Gelsenkirchen | Erste Parlamentarische Geschäftsführerin @GrueneBundestag | Mitglied des Parlamentarischen Kontrollgremiums PKGr #Innenpolitik2Life",123000381,"Bündnis 90/Die Grünen","1 ökonomisch neutral + libertär"
289,"KaiGehring","Ausschussvorsitzender Bildung & Forschung | Essener Arbeiterkind im Bundestag @gruenebundestag 👉 https://t.co/nwwdK6LgfR",110368256,"Bündnis 90/Die Grünen","1 ökonomisch neutral + libertär"
2,"TeamDieSchmidt","Hier tweetet, textet und publiziert das Team der SPD Bundestagsabgeordneten Dagmar Schmidt @dieschmidt (Lahn-Dill-Kreis, Wettenberg, Biebertal).",1377117206,"SPD","2 ökonomisch neutral + libertär/autoritär"
2,"schwarz_spd","SPD Bundestagskandidat für Bamberg und Forchheim Andreas Schwarz.",53617577,"SPD","2 ökonomisch neutral + libertär/autoritär"
5,"HiltrudLotze","Sozialdemokratin | Lueneburg | Mitglied des Deutschen Bundestages",38272927,"SPD","2 ökonomisch neutral + libertär/autoritär"
6,"AfDimBundestag","AfD-Fraktion im Deutschen Bundestag https://t.co/Ykqu1braRO",910913583168573440,"AfD","2 ökonomisch neutral + libertär/autoritär"
7,"spdbt","Hier twittert der Newsdesk der SPD-Bundestagsfraktion. Impressum, aktuelle Podcast-Folgen und spannende Links: https://t.co/e2l15mSRwd",327792520,"SPD","2 ökonomisch neutral + libertär/autoritär"
9,"spdbt_netz","Hier twittert die Arbeitsgruppe Digitales der SPD-Bundestagsfraktion. Impressum: https://t.co/si2fLgkKg8",127620350,"SPD","2 ökonomisch neutral + libertär/autoritär"
16,"DagmarFreitag13","MdB 1992-2021 • SPD • Transatlantikerin  • Vors. Sport-Ausschuss 2009-2021 • Sauerland • Leichtathletik • Anti-Doping • True Athletes •",1128916258983960064,"SPD","2 ökonomisch neutral + libertär/autoritär"
17,"ElisabethMotsc1","Mitglied des Deutschen Bundestages von 2013-2021 |Staatsrätin a.D. | Bremen",1135510177292197888,"CSU","2 ökonomisch neutral + libertär/autoritär"
21,"ruetzelbernd","MdB | Main-Spessart/Miltenberg | Vorsitzender des Ausschusses Arbeit und Soziales | SPD-Bezirksvorsitzender Unterfranken",1113002723733990016,"SPD","2 ökonomisch neutral + libertär/autoritär"
26,"BerndWestphal2","politisch, pragmatisch, SPD",1071665223120249984,"SPD","2 ökonomisch neutral + libertär/autoritär"
3,"reinhardbrandl","Mitglied im Verteidigungsausschuss 🇺🇦   Mitglied im Ausschuss für Digitales   Sprecher für Digitales   @cducsubt",262730721,"CSU","3 ökonomisch neutral + autoritär"
8,"cducsupm","Alle Pressemitteilungen der @cducsubt auf einen Blick!  Hier wird automatisiert getwittert • Impressum: https://t.co/KGbVUwXufa",308215277,"CSU","3 ökonomisch neutral + autoritär"
10,"cducsubt","Die Unionsfraktion im Deutschen Bundestag • Fraktionschef: @_FriedrichMerz  • Sprecher: @warrings • Impressum: https://t.co/mrapTIrRLC",26085533,"CSU","3 ökonomisch neutral + autoritär"
12,"thorsten_frei","MdB •Erster Parlamentarischer Geschäftsführer @cducsubt •Stv. Landesvorsitzender @cdu_bw •Oberbürgermeister a.D. •Jurist •Familienvater",1181598578508214272,"CDU","3 ökonomisch neutral + autoritär"
15,"MPatzeltCDU","@CDU MdB a.D. für Frankfurt(Oder)- Oder-Spree. Themen: #Familien, #Menschenrechte & #Ehrenamt",1159072277726589952,"CDU","3 ökonomisch neutral + autoritär"
19,"StegemannAlbert","Agrarpolitischer Sprecher der CDU/CSU-Bundestagsfraktion",1127961228293129984,"CSU","3 ökonomisch neutral + autoritär"
25,"AntjeTillmann","CDU Bundestagsabgeordnete für Erfurt, Weimar und das Grammetal - Finanzpolitische Sprecherin der CDU/CSU- Bundestagsfraktion",1082925763316367360,"CSU","3 ökonomisch neutral + autoritär"
29,"_ThomasRachel","direkt gewählt für den Kreis Düren🍀, NRW | Parl. Staatssekretär a.D. | Religionspolitischer Sprecher @cducsubt | Entwicklungspolitik🌾| Auswärtiges 🤝🌎",1052522172717379968,"CDU","3 ökonomisch neutral + autoritär"
33,"DaniLudwigMdB","Bundestagsabgeordnete der @CSU    Ausschussvorsitzende, Wahlkreis Rosenheim / Bayern, Vorsitzende @brkrosenheim",1019826605022919936,"CSU","3 ökonomisch neutral + autoritär"
60,"MBiadaczMdB","🏛 im Bundestag für den Landkreis Böblingen | 🖤 CDUler | 🦾 Digitales, Arbeit & Soziales | 🇪🇺 überzeugter Europäer",935815000006051968,"CDU","3 ökonomisch neutral + autoritär"
22,"HoffmannForest","MdB | FDP-Fraktion | Stv. Vorsitzender des Ausschusses für wirtschaftliche Zusammenarbeit und Entwicklung | Südbaden | Förster | Bürgermeister a.D.",1085292381205219968,"FDP","4 ökonomisch rechts + libertär/autoritär"
28,"nicole_ae_bauer","Mitglied des Bundestages für Niederbayern | FDP | Sprecherin für Frauenpolitik und Diversity | Mittelstand & Innovation | Ingenieurin 🚀",1061873979760263168,"FDP","4 ökonomisch rechts + libertär/autoritär"
36,"mseesternpauly","Mitglied des Bundestages | Familienpolitischer Sprecher @fdpbt | Osnabrücker Land | https://t.co/fS2hk7f7An",1006099793888819968,"FDP","4 ökonomisch rechts + libertär/autoritär"
38,"RenataAlt_MdB","MdB | Vorsitzende des Ausschusses für Menschenrechte und humanitäre Hilfe | Mitglied @fdpbt-Fraktionsvorstand",1001837201276220032,"FDP","4 ökonomisch rechts + libertär/autoritär"
39,"BrittaDassler","Bundestagsabgeordnete aus Herzogenaurach für die @FDP | Sportpolitische Sprecherin der @fdpbt",998867063272921984,"FDP","4 ökonomisch rechts + libertär/autoritär"
20,"HerbrandMarkus","MdB | Finanzpolitischer Sprecher und Obmann im #Finanzausschuss | #FDP | #Eifel | Begeisterung für #Politik, (Rock-)Musik, @fckoeln & ausgiebige Wanderungen",997138767763750912,"FDP","4 ökonomisch rechts + libertär/autoritär"
21,"MdBKlein","Landesgruppenchef der @fdplgby Bundestagsabgeordneten #MdB | Obmann im Haushaltsausschuss für die @fdpbt | Stadtrat in Aschaffenburg",995228292023085952,"FDP","4 ökonomisch rechts + libertär/autoritär"
22,"NicoleWestig","#MdB | Pflegepolitische Sprecherin @fdpbt",989125229682525952,"FDP","4 ökonomisch rechts + libertär/autoritär"
23,"ulrichlechte","MdB aus Regensburg | Außenpolitischer Sprecher @fdpbt | Obmann im Auswärtigen Ausschuss | Stellv. Landesvorsitzender @fdpbay",988765113606918144,"FDP","4 ökonomisch rechts + libertär/autoritär"
25,"theliberalfrank","Für die @fdpsachsen Mitglied des Deutschen Bundestages | @fdpbt | Auswärtiger Ausschuss | Freiheit ist alles außer selbstverständlich | Stadtrat in Chemnitz",982028002967981952,"FDP","4 ökonomisch rechts + libertär/autoritär"
35,"DrRobbySchlund","ist ein deutscher Politiker (AfD) und seit 2017 Mitglied des Deutschen Bundestages.    is a German politician (AfD) and member of the German Bundestag since 2017.",1009025255753601024,"AfD","5 ökonomisch rechts + autoritär"
37,"WolfgangWiehle","Mitglied des deutschen Bundestages (AfD), Mitglied des Haushaltsausschusses und des Verkehrsausschusses",1003656299589132288,"AfD","5 ökonomisch rechts + autoritär"
50,"JoernKoenigAfD","MdB und sportpolitischer Sprecher der @AfD Bundestagsfraktion. Weiterer Schwerpunkt: Digitale Finanzwirtschaft / Kreisvorsitzender Hannover Stadt.",960972630709284992,"AfD","5 ökonomisch rechts + autoritär"
70,"ChrWirthMdB","Dr. Christian Wirth, für das #Saarland und die #AfD im Bundestag",920193967937019904,"AfD","5 ökonomisch rechts + autoritär"
71,"Martin_Sichert","Hier twittert Martin Sichert, Gesundheitspolitischer Sprecher der AfD im Deutschen Bundestag",918205860862381952,"AfD","5 ökonomisch rechts + autoritär"
72,"JuergenBraunAfD","@AfDimBundestag-Abgeordneter | Sprecher für #Menschenrechte, Obmann im Ausschuß für Menschenrechte im #Bundestag; #Umweltausschuß | https://t.co/YlgpsEon92",917756296555892736,"AfD","5 ökonomisch rechts + autoritär"
72,"Th_Seitz_AfD","Rechtspolitischer Sprecher der @AfDimBundestag und Mitglied des Kreistages des Ortenaukreises",913358838736310272,"AfD","5 ökonomisch rechts + autoritär"
75,"SteffenKotre","MdB 20. Deutscher @Bundestag | Energiepolitscher Sprecher der AfD im Bundestag | Tweets: SK&Team",912223223231229056,"AfD","5 ökonomisch rechts + autoritär"
76,"andreasbleckmdb","Mitglied der @AfDimBundestag, Umweltpolitiker, Fußballschiedsrichter, verheiratet, konfessionslos",910878652535750016,"AfD","5 ökonomisch rechts + autoritär"
79,"DrMEspendiller","MdB, Mathematiker, NRW 📈 Sprecher der Landesgruppe NRW der @AfDimBundestag 📑 Politik mit Zahlen, Daten, Fakten     https://t.co/289KgIEfGE",885167829685319936,"AfD","5 ökonomisch rechts + autoritär"
0,"ManjaSchuele","Ministerin für Wissenschaft, Forschung und Kultur denn #ZukunftwirdinBrandenburggemacht, hier privat",827090722162099968,"SPD","6 keine Kategorie"
13,"juergen_martens","💼 Bundestagsabgeordneter 17-21 | ⚖️ Rechtspolitischer Sprecher 17-21 | Sächs. Justizminister a.D.",1187686813168820224,"FDP","6 keine Kategorie"
18,"MichaelHennric2","Bundestagsabgeordneter aus dem Wahlkreis Nürtingen",1132260527378290048,"CDU","6 keine Kategorie"
20,"gitta_connemann","Bundesvorsitzende @MIT_bund",1125751225205260032,"CDU","6 keine Kategorie"
23,"MaagKarin","Unparteiisches Mitglied beim GBA ehem.Gesundheitspolitische Sprecherin der CDU/CSU Fraktion",1095023250790550016,"CDU","6 keine Kategorie"
31,"n_roettgen","Mitglied des Deutschen Bundestages | Auswärtiger Ausschuss 🌏 | Optimismus 🚀 Europa 🇪🇺 und Espresso ☕️",1020160799208160000,"CDU","6 keine Kategorie"
52,"FrStraetmanns","Ostwestfale seit Geburt! Zur Zeit aktiv in MV, Läufer, Fußballer und Camper .Dies ist mein privater Account!",959059951523106816,"DIE LINKE","6 keine Kategorie"
58,"Jacobi_AfD","Nein.  Nicht F. Jacobi,  ein anderer!",922181129222898048,"AfD","6 keine Kategorie"
62,"MieruchMario","Dipl.-Ing.(BA) Mechatronik | industrial automation | kämpft für das freie Mandat | Bundesvorsitzender BFA e.V. | DIG Berlin/BBG |  Glaubwürdigkeit & Integrität",932931561015730176,"Liberal-Konservative Reformer","6 keine Kategorie"
80,"BrunnerGanzOhr","🌈 Für die Menschen und Twitter-Bots ""ganz Ohr"".",882929865535705088,"SPD","6 keine Kategorie"
