text,prediction,true label
"Abgeordneter | Volljurist⚖ | Arbeiterkind | Sozialdemokrat | In Hamburg-Billstedt aufgewachsen | Für eine💯% tolerante, gerechte & soziale Gesellschaft",2,
"Mitglied des Bayerischen Landtags, B90/Grüne. Themen: Kommunales, frühkindliche Bildung, Flugverkehr. Vize der Kinderkommission. Stadtrat, Kreisrat.",6,
"MdL, Vizepräsident,
Sprecher für lebenslanges Lernen,  B90/Die Grünen im Bayerischen Landtag",0,
"AfD-Fraktion Landtag Bayern, innenpolitischer Sprecher",6,
Ehemaliger AfD-Abgeordneter für den Wahlkreis Hechingen-Münsingen (WK 61) im Landtag von Baden-Württemberg (* vom MdL gepostet),6,
"Mitglied der Hamburgischen Bürgerschaft / Sprecherin für Arbeitsmarkt, Migration und Antidiskriminierungspolitik der Grünen Fraktion",0,
"Thüringer Ministerin für Arbeit, Soziales, Gesundheit, Frauen und Familie; Mitglied Landesvorstand LINKE Thüringen",0,
"Fraktionsvorsitzende Grüne Sachsen-Anhalt 🌻 | Klimaschutz, Mobilitätswende und Demokratiesicherung",6,
"„Ändere die Welt, sie braucht es!“(Brecht) Vorsitzende dbv Berlin; Kultur & Bildung; Linksfraktion #MaHe, private Meinung",0,
"Minister des Innern in NRW. Aus dem Bergischen Land, von 2004 - 2017 im Europäischen Parlament.",6,
"Ökonom, Bürgermeister a.D., Beauftragter Arbeitnehmerkammer Bremen; Board of Directors Forum of Federations; Beratung 42.0; mag Rennrad, #Werder u Monferrato",6,
"Präsident des Landtags Rheinland-Pfalz, Kreistagsmitglied im Westerwaldkreis, Staatsminister a.D.",0,
"Mitglied des Landtags von Baden-Württemberg - Staatssekretär im Ministerium für Wirtschaft, Arbeit und Tourismus - Wahlkreis Breisgau",6,
MdB direkt gewählt für Heidelberg Neckar/Bergstraße | Parlamentarische Staatssekretärin @BMWK | privater Kanal | Toots: https://t.co/Z4amQcAj9e,2,
MdB & Mitglied des Verteidigungsausschusses. Stellv. Mitglied im Innenausschuss/ Bundesvorstandsmitglied CDU/ stellv. Vorsitzende der CDU Köln,3,
Abgeordneter der Hamburgischen Bürgerschaft. Sprecher für freiwilliges Engagement GRÜNE Fraktion.,6,
"MdHB der Fraktion DIE LINKE, Fachsprecher für Gesundheit und  Innenpolitik",6,
Hier twittert die Pressestelle der CSU-Fraktion im Bayerischen Landtag.,0,
"Mitglied des Bundestags für Kassel. Schwerpunkt: Erneuerbare Energien. Vors. SPD-Hessen-Nord, stellv. Landesvors. HessenSPD, Sprecher Landesgruppe Hessen 🏳️‍🌈",0,
"Minister für Landwirtschaft, Umwelt und #Klimaschutz #Eberswalde hier privat",1,
Staatssekretär für Energie und Betriebe bei der @SenWiEnBe - hier privat unterwegs,6,
"Polizist und etwas Politiker.
Thüringer Landtag - Innenpolitischer Sprecher und im Stadtrat Erfurt",0,
Wir sind der Landesverband Mecklenburg-Vorpommern der Alternative für Deutschland,0,
Minister für Bundes- und Europaangelegenheiten sowie Internationales des Landes NRW,6,
Liberaler Westfale. Staatssekretär a.D.,6,
"Mitglied des Berliner Abgeordnetenhauses, Grüne Überzeugungstäterin, Sprecherin für Wohnen & Mieten plus Haushaltspolitik, direkt gewählt im WK1 Kreuzberg",0,
Bundestagsabgeordneter aus dem Rhein-Kreis Neuss. Member of the German Parliament. Stellv. Vorsitzender der CDU/CSU-Bundestagsfraktion und der KAS.,6,
Mitglied des Landtags Nordrhein-Westfalen | Jüngster Abgeordneter | 27 | Freie Demokraten | Jura-Student | Insta: _brockmeier,2,
hier twittert der Staatssekretär im Ministerium der Finanzen  Nordrhein-Westfalen #Düsseldorf. CV: https://t.co/GKaaxYKJnd Foto: B. Engel-Albustin,6,
"Politikerin, Bildungspolitische Sprecherin, unabhängig, nicht nachtragend",0,
Staatssekretär @SenWiEnBe a.D.| Wikimedian (@WikimediaDe) a.D.,0,
"Lokomotivführer. MdB, Stellvertretender Vorsitzender der SPD-Bundestagsfraktion. Verkehr & Digitales. Stadtrat in Chemnitz. Twittere selbst.",6,
- MdL in NRW - Vorsitzender (NRW Jusos) a.D. / Für die Jusos im Vorstand der NRWSPD,6,
"Minister für Wirtschaft, Arbeit und Energie des Landes Brandenburg/Team twittert seit dem 30.11.2018 mit",0,
"Mitglied des Bayerischen Landtags, B90/Die Grünen, Vorsitzende im Ausschuss für Umwelt und Verbraucherschutz. 
Gemeinderätin",0,
Landtagsabgeordnete des Wahlkreises 47 (Groß-Gerau) in Hessen.,6,
"Deutsch-Grieche, Bundestagsabgeordneter (SPD) im WK Lörrach-Müllheim. Für dich im Ausschuss für Arbeit und Soziales. Teilhabepolitischer Sprecher 🏳️‍🌈",0,
"PGF der CDU-Landtagsfraktion in M-V, Stadtpräsident der schönsten Landeshauptstadt der Welt, Familienmensch, HSV-Fan und vieles mehr.😀",3,
Bezirksvorsitzender @JUMittelfranken.,6,
"Staatsrat für Wirtschaft in Hamburg, aber hier ausschließlich privat unterwegs",0,
"Ministerin für Arbeit, Soziales, Gesundheit und Gleichstellung des Landes Sachsen-Anhalt, twittert hier privat",0,
"Aufklärung, es geht immer um Aufklärung.🏳️‍🌈 🇪🇺 Saarländer. Sozi.",0,
